row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2018Triệu đồng,Ngày 31 tháng 12 năm 2017(Phân loại lại)Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018Triệu đồng,numeric__Ngày 31 tháng 12 năm 2017(Phân loại lại)Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.855.473,2.574.284,5.0,1855473.0,2574284.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,10.332.440,5.880.062,6.0,10332440.0,5880062.0
Tiền gửi và cấp tín dụng cho các tổ chức tín dụng khác,TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng khác,Tiền gửi và cấp tín dụng cho các tổ chức tín dụng khác,,16.702.538,16.817.328,,16702538.0,16817328.0
"Tiền gửi tại các tổ chức tín dụng (""TCTD"")khác","TÀI SẢN > Tiền gửi tại các tổ chức tín dụng (""TCTD"")khác","Tiền gửi tại các tổ chức tín dụng (""TCTD"")khác",7.1,15.933.075,14.516.023,71.0,15933075.0,14516023.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,769.463,2.302.036,72.0,769463.0,2302036.0
Dự phòng rủi ro,TÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,-,(731),,,-731.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,4.202.413,1.424.854,8.0,4202413.0,1424854.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,4.240.742,1.424.854,,4240742.0,1424854.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,(38.329),-,,-38329.0,
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,165.774.069,135.785.640,,165774069.0,135785640.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,168.189.797,137.869.199,10.0,168189797.0,137869199.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(2.415.728),(2.083.559),11.0,-2415728.0,-2083559.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,501.973,-,12.0,501973.0,
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,501.973,-,,501973.0,
Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,-,-,,,
Chứng khoán đầu tư,Dự phòng rủi ro hoạt động mua nợ > Chứng khoán đầu tư,Chứng khoán đầu tư,,51.522.616,53.455.360,,51522616.0,53455360.0
Chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro hoạt động mua nợ > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,13.1,49.417.157,50.384.788,131.0,49417157.0,50384788.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng rủi ro hoạt động mua nợ > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,3.161.133,4.048.438,132.0,3161133.0,4048438.0
Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro hoạt động mua nợ > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,13.3,(1.055.674),(977.866),133.0,-1055674.0,-977866.0
"Góp vốn, đầu tư dài hạn","Dự phòng rủi ro hoạt động mua nợ > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,7.857.689,4.965.541,,7857689.0,4965541.0
Đầu tư vào công ty con,Dự phòng rủi ro hoạt động mua nợ > Đầu tư vào công ty con,Đầu tư vào công ty con,14.1,7.667.035,4.813.035,141.0,7667035.0,4813035.0
Đầu tư dài hạn khác,Dự phòng rủi ro hoạt động mua nợ > Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.2,227.602,194.602,142.0,227602.0,194602.0
Dự phòng đầu tư dài hạn,Dự phòng rủi ro hoạt động mua nợ > Dự phòng đầu tư dài hạn,Dự phòng đầu tư dài hạn,14.3,(36.948),(42.096),143.0,-36948.0,-42096.0
Tài sản cố định,Dự phòng rủi ro hoạt động mua nợ > Tài sản cố định,Tài sản cố định,,1.532.808,564.446,,1532808.0,564446.0
Tài sản cố định hữu hình,Dự phòng rủi ro hoạt động mua nợ > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.259.145,302.531,151.0,1259145.0,302531.0
Nguyên giá tài sản cố định,Dự phòng rủi ro hoạt động mua nợ > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,1.860.123,781.096,,1860123.0,781096.0
Hao mòn tài sản cố định,Dự phòng rủi ro hoạt động mua nợ > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(600.978),(478.565),,-600978.0,-478565.0
Tài sản cố định vô hình,Dự phòng rủi ro hoạt động mua nợ > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,273.663,261.915,152.0,273663.0,261915.0
Nguyên giá tài sản cố định,Dự phòng rủi ro hoạt động mua nợ > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,542.613,462.202,,542613.0,462202.0
Hao mòn tài sản cố định,Dự phòng rủi ro hoạt động mua nợ > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(268.950),(200.287),,-268950.0,-200287.0
Tài sản Có khác,Dự phòng rủi ro hoạt động mua nợ > Tài sản Có khác,Tài sản Có khác,,13.876.181,12.598.535,,13876181.0,12598535.0
Các khoản phải thu,Dự phòng rủi ro hoạt động mua nợ > Các khoản phải thu,Các khoản phải thu,16.1,9.275.306,7.282.395,161.0,9275306.0,7282395.0
"Các khoản lãi, phí phải thu","Dự phòng rủi ro hoạt động mua nợ > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,3.268.854,2.835.787,162.0,3268854.0,2835787.0
Tài sản Có khác,Dự phòng rủi ro hoạt động mua nợ > Tài sản Có khác,Tài sản Có khác,16.3,1.352.847,2.497.214,163.0,1352847.0,2497214.0
Dự phòng rủi ro cho các tài sản Cónội bảng khác,Dự phòng rủi ro hoạt động mua nợ > Dự phòng rủi ro cho các tài sản Cónội bảng khác,Dự phòng rủi ro cho các tài sản Cónội bảng khác,16.4,(20.826),(16.861),164.0,-20826.0,-16861.0
TỔNG TÀI SẢN,Dự phòng rủi ro hoạt động mua nợ > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,274.158.200,234.066.050,,274158200.0,234066050.0
