row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12năm 2018 > Tỷ lệsở hữu,Ngày 31 tháng 12năm 2017 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12năm 2017 > Tỷ lệsở hữu,numeric__Ngày 31 tháng 12năm 2018 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12năm 2018 > Tỷ lệsở hữu,numeric__Ngày 31 tháng 12năm 2017 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12năm 2017 > Tỷ lệsở hữu
Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,,,,
Công ty Cổ phần Vận tải ITRACO,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Vận tải ITRACO,Công ty Cổ phần Vận tải ITRACO,21,"0,64%",21,"0,64%",21.0,0.0064,21.0,0.0064
Công ty Cổ phần Đồng Xuân,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Đồng Xuân,Công ty Cổ phần Đồng Xuân,5.000,"10,00%",5.000,"10,00%",5000.0,0.1,5000.0,0.1
Công ty Cổ phần Đảo tạo và Tư vấn Ngân hàng (BTC),Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Đảo tạo và Tư vấn Ngân hàng (BTC),Công ty Cổ phần Đảo tạo và Tư vấn Ngân hàng (BTC),371,"5,29%",371,"5,29%",371.0,0.0529,371.0,0.0529
Công ty Cổ phần Thông tin tin dụng (PCB),Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Thông tin tin dụng (PCB),Công ty Cổ phần Thông tin tin dụng (PCB),3.934,"3,28%",3.934,"3,28%",3934.0,0.032799999999999996,3934.0,0.032799999999999996
Công ty Cổ phần Cảng Sài Gòn,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Cảng Sài Gòn,Công ty Cổ phần Cảng Sài Gòn,185.276,"7,44%",185.276,"7,44%",185276.0,0.07440000000000001,185276.0,0.07440000000000001
Công ty Cổ phần Bảo hiểm OPES,Đầu tư vào tổ chức kinh tế > Công ty Cổ phần Bảo hiểm OPES,Công ty Cổ phần Bảo hiểm OPES,33.000,"11,00%",-,-,33000.0,0.11,,
,,,227.602,,194.602,,227602.0,,194602.0,
Dự phòng đầu tư dài hạn khác,Đầu tư vào tổ chức kinh tế > Dự phòng đầu tư dài hạn khác,Dự phòng đầu tư dài hạn khác,(36.948),,(42.096),,-36948.0,,-42096.0,
,,,190.654,,152.506,,190654.0,,152506.0,
