row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,1.855.473,-,-,-,-,-,-,1.855.473,,1855473.0,,,,,,,1855473.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tải sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,10.332.440,-,-,-,-,-,10.332.440,,,10332440.0,,,,,,10332440.0
Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tải sản > Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,Tiền gửi và cấp tin dụng cho các TCTD khác - gộp,-,-,13.385.535,3.033.735,93.828,189.440,-,-,16.702.538,,,13385535.0,3033735.0,93828.0,189440.0,,,16702538.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,4.240.742,-,-,-,-,-,4.240.742,,,4240742.0,,,,,,4240742.0
Cho vay khách hàng và mua nợ - gộp,Tải sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.304.948,-,28.057.140,28.631.096,28.222.744,54.650.866,26.317.471,507.505,168.691.770,2304948.0,,28057140.0,28631096.0,28222744.0,54650866.0,26317471.0,507505.0,168691770.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,4.346.272,4.603.502,5.137.308,2.877.719,6.141.338,21.447.150,8.025.001,52.578.290,,4346272.0,4603502.0,5137308.0,2877719.0,6141338.0,21447150.0,8025001.0,52578290.0
"Gộp vốn, đầu tư dài hạn - gộp","Tải sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,7.894.637,-,-,-,-,-,-,7.894.637,,7894637.0,,,,,,,7894637.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,1.532.808,-,-,-,-,-,-,1.532.808,,1532808.0,,,,,,,1532808.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,114.182,4.707.044,1.810.980,552.804,4.056.760,2.655.237,-,-,13.897.007,114182.0,4707044.0,1810980.0,552804.0,4056760.0,2655237.0,,,13897007.0
