row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,Giá trị ghi sổ > Sẵn sàng để bản Triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,Giá trị ghi sổ > Giá trị hợp lý Triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn Triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu Triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bản Triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ Triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,1.855.473,-,-,1.855.473,1.855.473,,,1855473.0,,,1855473.0,1855473.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,10.332.440,-,-,10.332.440,(*),,,10332440.0,,,10332440.0,
Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,-,-,16.702.538,-,-,16.702.538,(*),,,16702538.0,,,16702538.0,
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,4.240.742,-,-,-,-,4.240.742,(*),4240742.0,,,,,4240742.0,
Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,-,168.691.770,-,-,168.691.770,(*),,,168691770.0,,,168691770.0,
Chứng khoán đầu tư sẵn sang để bán – gộp,Chứng khoán đầu tư sẵn sang để bán – gộp,Chứng khoán đầu tư sẵn sang để bán – gộp,-,-,-,49.417.157,-,49.417.157,(*),,,,49417157.0,,49417157.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,-,3.161.133,-,-,-,3.161.133,(*),,3161133.0,,,,3161133.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,12.289.310,227.602,-,12.516.912,(*),,,12289310.0,227602.0,,12516912.0,
,,,4.240.742,3.161.133,209.871.531,49.644.759,-,266.918.165,,4240742.0,3161133.0,209871531.0,49644759.0,,266918165.0,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,-,-,3.781.343,3.781.343,(*),,,,,3781343.0,3781343.0,
"Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,-,-,40.440.618,40.440.618,(*),,,,,40440618.0,40440618.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,167.561.668,167.561.668,(*),,,,,167561668.0,167561668.0,
Các công cụ tài chính phải sinh và nợ tài chính khác,Các công cụ tài chính phải sinh và nợ tài chính khác,Các công cụ tài chính phải sinh và nợ tài chính khác,68.444,-,-,-,-,68.444,(*),68444.0,,,,,68444.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro",-,-,-,-,329.649,329.649,(*),,,,,329649.0,329649.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,24.839.922,24.839.922,(*),,,,,24839922.0,24839922.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,5.645.846,5.645.846,(*),,,,,5645846.0,5645846.0,
,,,68.444,-,-,-,242.599.046,242.667.490,,68444.0,,,,242599046.0,242667490.0,
