row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2018Triệu đồng,Ngày 31 tháng 12năm 2017(Phân loại lại) (*)Triệu đồng,numeric__Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Ngày 31 tháng 12năm 2017(Phân loại lại) (*)Triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,390.235,571.261,390235.0,571261.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,390.235,571.261,390235.0,571261.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.958.823,1.409.738,1958823.0,1409738.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,83.056,15.362,83056.0,15362.0
Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,553.217,243.341,553217.0,243341.0
Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,,,,
Nhà nước (Thuyết minh số 23),Thuế và các khoản phải trả ngân sách > Nhà nước (Thuyết minh số 23),Nhà nước (Thuyết minh số 23),489.654,455.701,489654.0,455701.0
Phải trả về hoạt động thanh toán,Thuế và các khoản phải trả ngân sách > Phải trả về hoạt động thanh toán,Phải trả về hoạt động thanh toán,471.014,439.495,471014.0,439495.0
Phải trả nhà cung cấp,Thuế và các khoản phải trả ngân sách > Phải trả nhà cung cấp,Phải trả nhà cung cấp,14.168,22.151,14168.0,22151.0
Các khoản phải trả khác,Thuế và các khoản phải trả ngân sách > Các khoản phải trả khác,Các khoản phải trả khác,347.714,233.688,347714.0,233688.0
,,,2.349.058,1.980.999,2349058.0,1980999.0
