row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2018Triệu đồng,Ngày 31 tháng 12năm 2017(Phân loại lại)Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Ngày 31 tháng 12năm 2017(Phân loại lại)Triệu đồng
NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,NỘ PHẢI TRÀ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRÀ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,17,3.781.343,26.015,17.0,3781343.0,26015.0
"Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác","NỘ PHẢI TRÀ > Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác","Tiền gửi và vay các tổ chức tài chính, tổ chức tín dụng khác",,40.440.618,31.503.653,,40440618.0,31503653.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRÀ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,18.1,21.755.026,8.401.324,181.0,21755026.0,8401324.0
"Vay các tổ chức tài chính (""TCTC""), tổ chức tín dụng (""TCTD"") khác","NỘ PHẢI TRÀ > Vay các tổ chức tài chính (""TCTC""), tổ chức tín dụng (""TCTD"") khác","Vay các tổ chức tài chính (""TCTC""), tổ chức tín dụng (""TCTD"") khác",18.2,18.685.592,23.102.329,182.0,18685592.0,23102329.0
Tiền gửi của khách hàng,NỘ PHẢI TRÀ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,167.561.668,129.056.826,19.0,167561668.0,129056826.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRÀ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,68.444,68.132,9.0,68444.0,68132.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRÀ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,329.649,328.777,20.0,329649.0,328777.0
Phát hành giấy tờ có giá,NỘ PHẢI TRÀ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,24.839.922,41.261.057,21.0,24839922.0,41261057.0
Các khoản nợ khác,NỘ PHẢI TRÀ > Các khoản nợ khác,Các khoản nợ khác,,6.610.818,5.909.516,,6610818.0,5909516.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRÀ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",22.1,4.261.760,3.928.517,221.0,4261760.0,3928517.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRÀ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.2,2.349.058,1.980.999,222.0,2349058.0,1980999.0
TỔNG NỘ PHẢI TRÀ,NỘ PHẢI TRÀ > TỔNG NỘ PHẢI TRÀ,TỔNG NỘ PHẢI TRÀ,,243.632.462,208.153.976,,243632462.0,208153976.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,25.299.680,15.706.230,,25299680.0,15706230.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,1.289.001,5.866.105,,1289001.0,5866105.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,,(2.491.721),-,,-2491721.0,
Các quỹ của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Các quỹ của tổ chức tín dụng,Các quỹ của tổ chức tín dụng,,2.902.077,1.646.619,,2902077.0,1646619.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,3.526.701,2.693.120,,3526701.0,2693120.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,30.525.738,25.912.074,24.0,30525738.0,25912074.0
TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRÀ VÀ VỐN CHỦ SỞ HỮU,,274.158.200,234.066.050,,274158200.0,234066050.0
