row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,
Vay ngắn hạn ngân hàng,Vay ngắn hạn > Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,20.1,1.920.484.814.047,4.607.959.354.936,(4.303.948.313.374),2.224.495.855.609,201.0,1920484814047.0,4607959354936.0,-4303948313374.0,2224495855609.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,20.2,68.627.226.859,151.862.839.435,(54.096.894.756),166.393.171.538,202.0,68627226859.0,151862839435.0,-54096894756.0,166393171538.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,20.3,77.634.940.386,83.573.331.081,(81.562.106.037),79.646.165.430,203.0,77634940386.0,83573331081.0,-81562106037.0,79646165430.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,,751.000.000,-,(351.000.000),400.000.000,,751000000.0,,-351000000.0,400000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.067.497.981.292,4.843.395.525.452,(4.439.958.314.167),2.470.935.192.577,,2067497981292.0,4843395525452.0,-4439958314167.0,2470935192577.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,20.2,537.146.222.746,433.982.638.232,(163.862.839.435),807.266.021.543,202.0,537146222746.0,433982638232.0,-163862839435.0,807266021543.0
Nợ thuê tài chính,Vay dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,20.3,182.609.911.578,55.834.607.608,(94.525.695.380),143.918.823.806,203.0,182609911578.0,55834607608.0,-94525695380.0,143918823806.0
Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,Vay dài hạn từ quý Đầu tư và Phát triển,,,,,
UBND tỉnh Bắc Ninh,Vay dài hạn từ quý Đầu tư và Phát triển > UBND tỉnh Bắc Ninh,UBND tỉnh Bắc Ninh,20.4,94.000.000.000,-,-,94.000.000.000,204.0,94000000000.0,,,94000000000.0
Vay đối tượng khác,Vay dài hạn từ quý Đầu tư và Phát triển > Vay đối tượng khác,Vay đối tượng khác,20.5,-,70.000.000.000,-,70.000.000.000,205.0,,70000000000.0,,70000000000.0
TỔNG CỘNG,Vay dài hạn từ quý Đầu tư và Phát triển > TỔNG CỘNG,TỔNG CỘNG,,813.756.134.324,559.817.245.840,(258.388.534.815),1.115.184.845.349,,813756134324.0,559817245840.0,-258388534815.0,1115184845349.0
