row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Khoản hỗ trợ không hoàn lại của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),Ngắn hạn > Khoản hỗ trợ không hoàn lại của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),Khoản hỗ trợ không hoàn lại của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),-,169.077.994.000,,169077994000.0
Khoản hỗ trợ kinh phí xây dựng công trình khác (*),Ngắn hạn > Khoản hỗ trợ kinh phí xây dựng công trình khác (*),Khoản hỗ trợ kinh phí xây dựng công trình khác (*),-,9.485.500.000,,9485500000.0
"Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Ngắn hạn > Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế","Kinh phí công đoàn, bảo hiểm xã hội và bảo hiểm y tế",2.820.572.688,6.021.668.888,2820572688.0,6021668888.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",15.277.296.526,14.852.023.227,15277296526.0,14852023227.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,18.097.869.214,199.437.186.115,18097869214.0,199437186115.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Khoản hỗ trợ của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),Dài hạn > Khoản hỗ trợ của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),Khoản hỗ trợ của UBND tỉnh Bắc Ninh để xây dựng hệ thống xử lý môi trường cho khu chăn nuôi tập trung (*),164.077.994.000,-,164077994000.0,
Khoản hỗ trợ kinh phí xây dựng công trình khác (*),Dài hạn > Khoản hỗ trợ kinh phí xây dựng công trình khác (*),Khoản hỗ trợ kinh phí xây dựng công trình khác (*),9.485.500.000,-,9485500000.0,
"Các khoản phải trả, phải nộp dài hạn khác","Dài hạn > Các khoản phải trả, phải nộp dài hạn khác","Các khoản phải trả, phải nộp dài hạn khác",3.080.000.000,3.325.000.000,3080000000.0,3325000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,176.643.494.000,3.325.000.000,176643494000.0,3325000000.0
