row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Số cuối năm > 973.659.193.081,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 1 năm 2024. Lãi vay trả hàng tháng.,"Đơn vị tính: VNDLãi suất năm > 9,2% - 12,3%",numeric__Số cuối năm > 973.659.193.081,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 1 năm 2024. Lãi vay trả hàng tháng.,"numeric__Đơn vị tính: VNDLãi suất năm > 9,2% - 12,3%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,973.659.193.081,,,973659193081.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,166.393.171.538807.266.021.543,,,1.6639317153880726e+23,,
