row_label_raw,row_label_full,Tên đơn vị,Ngày 31 tháng 12 năm 2018 > Giá trị (VND),Ngày 31 tháng 12 năm 2018 > Tỷ lệ vốn năm giữ,Ngày 31 tháng 12 năm 2018 > Tỷ lệ quyền biểu quyết,Ngày 31 tháng 12 năm 2017 > Giá trị (VND),Ngày 31 tháng 12 năm 2017 > Tỷ lệ vốn năm giữ,Ngày 31 tháng 12 năm 2017 > Tỷ lệ quyền biểu quyết,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị (VND),numeric__Ngày 31 tháng 12 năm 2018 > Tỷ lệ vốn năm giữ,numeric__Ngày 31 tháng 12 năm 2018 > Tỷ lệ quyền biểu quyết,numeric__Ngày 31 tháng 12 năm 2017 > Giá trị (VND),numeric__Ngày 31 tháng 12 năm 2017 > Tỷ lệ vốn năm giữ,numeric__Ngày 31 tháng 12 năm 2017 > Tỷ lệ quyền biểu quyết
Công ty Cổ phần Transeco Công ty TNHH,Công ty Cổ phần Transeco Công ty TNHH,Công ty Cổ phần Transeco Công ty TNHH,(i) 20.000.000.000,"33,33%","33,33%",20.000.000.000,"33,33%","33,33%",,0.3333,0.3333,20000000000.0,0.3333,0.3333
Chế biển thực phẩm Dabaco,Chế biển thực phẩm Dabaco,Chế biển thực phẩm Dabaco,(ii) 90.000.000.000,45%,45%,90.000.000.000,45%,45%,,0.45,0.45,90000000000.0,0.45,0.45
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,110.000.000.000,,,110.000.000.000,,,110000000000.0,,,110000000000.0,,
