row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > 80.843.120.486,Đơn vị tính: VND > Năm trước > 83.645.537.443,numeric__Năm nay > 80.843.120.486,numeric__Đơn vị tính: VND > Năm trước > 83.645.537.443
"- Chi phí nguyên liệu, vật liệu","- Chi phí nguyên liệu, vật liệu","- Chi phí nguyên liệu, vật liệu",5.470.815.507,4.123.581.605,5470815507.0,4123581605.0
- Chi phí nhân công,- Chi phí nhân công,- Chi phí nhân công,55.856.753.026,59.302.941.835,55856753026.0,59302941835.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,1.996.390.235,2.848.818.872,1996390235.0,2848818872.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,5.755.059.750,6.500.002.605,5755059750.0,6500002605.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,11.764.101.968,10.870.192.526,11764101968.0,10870192526.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,150.135.325.192,318.953.772.131,150135325192.0,318953772131.0
- Chi phí văn phòng phẩm,- Chi phí văn phòng phẩm,- Chi phí văn phòng phẩm,2.745.760.300,7.559.766.001,2745760300.0,7559766001.0
- Chi phí nhân công,- Chi phí nhân công,- Chi phí nhân công,38.369.480.128,41.133.490.795,38369480128.0,41133490795.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,5.272.985.442,5.443.996.794,5272985442.0,5443996794.0
- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,27.209.900.325,27.120.394.330,27209900325.0,27120394330.0
- Chi phí dự phòng phải thu khó đòi và xóa nợ phải thu,- Chi phí dự phòng phải thu khó đòi và xóa nợ phải thu,- Chi phí dự phòng phải thu khó đòi và xóa nợ phải thu,69.695.903.954,226.989.420.844,69695903954.0,226989420844.0
- Chi phí khác,- Chi phí khác,- Chi phí khác,6.841.295.043,10.706.703.367,6841295043.0,10706703367.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,230.978.445.678,402.599.309.574,230978445678.0,402599309574.0
