row_label_raw,row_label_full,Phải nộpThuế giá trị gia tăng,Số đầu năm > -,Số phải nộp trong năm > 5.509.693.235,Số đã nộp/cấn trừ trong năm > (5.509.693.235),Đơn vị tính: VND > -,numeric__Số đầu năm > -,numeric__Số phải nộp trong năm > 5.509.693.235,numeric__Số đã nộp/cấn trừ trong năm > (5.509.693.235),numeric__Đơn vị tính: VND > -
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,53.356.348.316,23.493.429.913,(53.400.000.000),23.449.778.229,53356348316.0,23493429913.0,-53400000000.0,23449778229.0
Tiền sử dụng đất,Tiền sử dụng đất,Tiền sử dụng đất,7.863.534.500,5.862.477.003,(13.726.011.503),-,7863534500.0,5862477003.0,-13726011503.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,61.219.882.816,34.865.600.151,(72.635.704.738),23.449.778.229,61219882816.0,34865600151.0,-72635704738.0,23449778229.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cấn trừ trong năm,Số cuối năm,,,,
Phải thuThuế giá trị gia tăng,Phải thuThuế giá trị gia tăng,Phải thuThuế giá trị gia tăng,40.818.583.351,94.612.426.936,(43.956.615.094),91.474.395.193,40818583351.0,94612426936.0,-43956615094.0,91474395193.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40.818.583.351,94.612.426.936,(43.956.615.094),91.474.395.193,40818583351.0,94612426936.0,-43956615094.0,91474395193.0
