row_label_raw,row_label_full,STT,Tên đơn vị,numeric__Tên đơn vị
1,1,1,Công ty TNHH Lợn giống hạt nhân Dabaco,
2,2,2,Công ty TNHH MTV Lợn giống Lạc Vệ,
3,3,3,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,
4,4,4,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,
5,5,5,Công ty TNHH MTV Gà giống Dabaco,
6,6,6,Công ty TNHH MTV Cảng Dabaco Tân Chi,
7,7,7,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,
8,8,8,Công ty TNHH MTV Thương mại Hiệp Quang,
9,9,9,Công ty TNHH Nutreco,
10,10,10,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,
11,11,11,Công ty TNHH Bắt động sản Dabaco (*),
12,12,12,Công ty TNHH MTV Dabaco Tây Bắc (**),
13,13,13,Công ty TNHH Du lịch và Khách sạn L'Indochina,
14,14,14,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,
15,15,15,Công ty TNHH Lợn giống Hải Phòng,
16,16,16,Công ty TNHH Lợn giống Hà Nam,
17,17,17,Công ty TNHH Lợn giống Phú Thọ,
18,18,18,Công ty TNHH Lợn giống Dabaco Lương Tài,
19,19,19,Công ty TNHH Dabaco Tuyên Quang,
20,20,20,Công ty TNHH Nông nghiệp Công nghệ cao Dabaco,
21,21,21,Công ty TNHH Xây dựng Đường Kinh Dương Vương 3 và Đường Trường Chinh,
22,22,22,Công ty TNHH Xây dựng Hồ điều hòa Văn Miếu Bắc Ninh,
23,23,23,Công ty TNHH Xây dựng Đường từ Đền Đô đến Đường Vành đai III và TL295B Từ Sơn,
,,,Công ty TNHH Đầu tư và Phát triển Cụm Công nghiệp Khúc,
24,24,24,Xuyên,
,,,TỔNG CỘNG,
