row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,410.417.173.478,10.715.040.000,421.132.213.478,410417173478.0,10715040000.0,421132213478.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,151.797.169.251,-,151.797.169.251,151797169251.0,,151797169251.0
Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Nguyên giá: > Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),(33.559.550.044),-,(33.559.550.044),-33559550044.0,,-33559550044.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,528.654.792.685,10.715.040.000,539.369.832.685,528654792685.0,10715040000.0,539369832685.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,103.904.862.029,6.294.332.616,110.199.194.645,103904862029.0,6294332616.0,110199194645.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,39.257.148.429,1.486.278.660,40.743.427.089,39257148429.0,1486278660.0,40743427089.0
Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Giá trị khấu hao lũy kế: > Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),Phân loại sang TSCĐ hữu hình (Thuyết minh số 10),(21.107.014.399),-,(21.107.014.399),-21107014399.0,,-21107014399.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,122.054.996.059,7.780.611.276,129.835.607.335,122054996059.0,7780611276.0,129835607335.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,306.512.311.449,4.420.707.384,310.933.018.833,306512311449.0,4420707384.0,310933018833.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,406.599.796.626,2.934.428.724,409.534.225.350,406599796626.0,2934428724.0,409534225350.0
