row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2),Đơn vị tính: VND > Giá trị ghi sổ > Số cuối năm > 730.402.443.085 > 110.000.000.000,Đơn vị tính: VND > Giá trị ghi sổ > Số đầu năm > 575.402.443.085 > 110.000.000.000,numeric__Đơn vị tính: VND > Giá trị ghi sổ > Số cuối năm > 730.402.443.085 > 110.000.000.000,numeric__Đơn vị tính: VND > Giá trị ghi sổ > Số đầu năm > 575.402.443.085 > 110.000.000.000
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(125.167.981.000),(131.397.488.557),-125167981000.0,-131397488557.0
SỐ DỰ THUÀN,SỐ DỰ THUÀN,SỐ DỰ THUÀN,715.234.462.085,554.004.954.528,715234462085.0,554004954528.0
