row_label_raw,row_label_full,Số cuối năm,Số cuối năm > Giá trị (VND),Số cuối năm > Tỷ lệ vốn góp thực tế,Số đầu năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Tỷ lệ vốn góp thực tế,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Tỷ lệ vốn góp thực tế,numeric__Số đầu năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Tỷ lệ vốn góp thực tế
121.312.447.572,121.312.447.572,121.312.447.572,100%,100%,121.312.447.572,100%,100%,1.0,1.0,121312447572.0,1.0,1.0
30.551.441.896,30.551.441.896,30.551.441.896,100%,100%,30.551.441.896,100%,100%,1.0,1.0,30551441896.0,1.0,1.0
25.678.384.595,25.678.384.595,25.678.384.595,100%,100%,25.678.384.595,-,-,1.0,1.0,25678384595.0,,
20.000.000.000,20.000.000.000,20.000.000.000,100%,100%,20.000.000.000,100%,100%,1.0,1.0,20000000000.0,1.0,1.0
10.000.000.000,10.000.000.000,10.000.000.000,100%,100%,10.000.000.000,100%,100%,1.0,1.0,10000000000.0,1.0,1.0
10.000.000.000,10.000.000.000,10.000.000.000,100%,100%,10.000.000.000,100%,100%,1.0,1.0,10000000000.0,1.0,1.0
20.000.000.000,20.000.000.000,20.000.000.000,100%,100%,20.000.000.000,100%,100%,1.0,1.0,20000000000.0,1.0,1.0
71.283.160.000,71.283.160.000,71.283.160.000,100%,100%,71.283.160.000,100%,100%,1.0,1.0,71283160000.0,1.0,1.0
50.190.568.966,50.190.568.966,50.190.568.966,100%,100%,50.190.568.966,100%,100%,1.0,1.0,50190568966.0,1.0,1.0
17.016.663.015,17.016.663.015,17.016.663.015,100%,100%,17.016.663.015,100%,100%,1.0,1.0,17016663015.0,1.0,1.0
-,-,-,-,-,-,-,100%,,,,,1.0
-,-,-,,,20.000.000.000,100%,100%,,,20000000000.0,1.0,1.0
179.369.777.041,179.369.777.041,179.369.777.041,100%,100%,179.369.777.041,100%,100%,1.0,1.0,179369777041.0,1.0,1.0
100.000.000.000,100.000.000.000,100.000.000.000,100%,100%,-,-,100%,1.0,1.0,,,1.0
35.000.000.000,35.000.000.000,35.000.000.000,100%,100%,-,-,100%,1.0,1.0,,,1.0
40.000.000.000,40.000.000.000,40.000.000.000,100%,100%,-,-,100%,1.0,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
-,-,-,-,100%,-,-,100%,,1.0,,,1.0
730.402.443.085,730.402.443.085,730.402.443.085,,,575.402.443.085,,,,,575402443085.0,,
