row_label_raw,row_label_full,Các khoản nợ thuệtài chính,Số cuối năm > 223.564.989.236,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 11 năm 2022. Lãi vay trả hàng tháng.,"Lãi suất năm > 8,5%-10,5%",numeric__Số cuối năm > 223.564.989.236,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2019 đến tháng 11 năm 2022. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 8,5%-10,5%"
Tổng cộng,Tổng cộng,Tổng cộng,223.564.989.236,,,223564989236.0,,
Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,Trong đó:Nợ dài hạn đến hạn trảNợ dài hạn,79.646.165.430143.918.823.806,,,7.964616543014392e+22,,
