row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),numeric__Đơn vị tính: VND > Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2)
Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty liên kết,15.000.000.000,-,,15000000000.0,
Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty liên kết,15.000.000.000,-,,15000000000.0,
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),Phải thu khác từ thành viên quản lý chủ chốt(Thuyết minh số 7.1),10.000.000.000,10.000.000.000,,10000000000.0,10000000000.0
Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),Phải trả người bán (Thuyết minh số 15),,,
Công ty TNHH MTV Thương mại Hiệp Quang,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,-,8.560.083.009,,,8560083009.0
Công ty Cổ phần Transeco,Phải trả người bán (Thuyết minh số 15) > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,12.875.368.651,-,,12875368651.0,
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Phải trả người bán (Thuyết minh số 15) > Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,20.836.853.850,24.047.853.699,,20836853850.0,24047853699.0
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty con,-,-,,,
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi > Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty con,33.712.222.501,32.607.936.708,,33712222501.0,32607936708.0
Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),,,
Công ty TNHH Nutreco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,92.392.989.721,82.788.737.686,,92392989721.0,82788737686.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,-,11.447.934.345,,,11447934345.0
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty con,28.116.000,-,,28116000.0,
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty con,92.421.105.721,94.236.672.031,,92421105721.0,94236672031.0
