row_label_raw,row_label_full,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Bên liên quan,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Bán hàng,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Mua nguyên vật liệu và dịch vụ,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Phân bổ chi phí sử dụng tài sản,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Lãi vay phân bổ,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Lợi nhuận được chia từ công ty con,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Đơn vị tính: VND Tiến nhận/(trả) trong năm,numeric__Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Bán hàng,numeric__Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Mua nguyên vật liệu và dịch vụ,numeric__Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Phân bổ chi phí sử dụng tài sản,numeric__Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Lãi vay phân bổ,numeric__Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Lợi nhuận được chia từ công ty con,numeric__Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2017 bao gồm: > Đơn vị tính: VND Tiến nhận/(trả) trong năm
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,89.051.853.689,-,19.664.434.005,6.006.040.027,-,56.970.280.524,89051853689.0,,19664434005.0,6006040027.0,,56970280524.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,175.868.712.068,-,1.890.270.986,-,38.440.457.893,214.309.169.961,175868712068.0,,1890270986.0,,38440457893.0,214309169961.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,41.735.937.769,-,363.521.700,-,22.182.282.929,25.668.633.529,41735937769.0,,363521700.0,,22182282929.0,25668633529.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,182.147.558.904,-,15.264.998.190,5.700.611.305,47.182.214.530,200.071.221.703,182147558904.0,,15264998190.0,5700611305.0,47182214530.0,200071221703.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,798.728.136.468,-,-,-,-,395.092.762.279,798728136468.0,,,,,395092762279.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,1.237.929.914.900,1.281.587.856.920,-,6.351.321.632,3.735.711.300,(155.402.532.962),1237929914900.0,1281587856920.0,,6351321632.0,3735711300.0,-155402532962.0
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,581.951.689.010,-,8.964.974.474,1.923.250.509,47.668.049.237,618.329.055.138,581951689010.0,,8964974474.0,1923250509.0,47668049237.0,618329055138.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,-,74.287.272.466,-,2.438.914.239,11.098.596.342,83.307.672.854,,74287272466.0,,2438914239.0,11098596342.0,83307672854.0
Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,-,-,-,-,-,(15.796.658.971),,,,,,-15796658971.0
Công ty TNHH MTV Bắt động sản Dabaco,Công ty TNHH MTV Bắt động sản Dabaco,Công ty TNHH MTV Bắt động sản Dabaco,2.414.534.545,-,-,-,-,7.661.117.545,2414534545.0,,,,,7661117545.0
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,-,3.641.215.935,1.072.727.280,345.060.014,171.868.030,(41.483.316.770),,3641215935.0,1072727280.0,345060014.0,171868030.0,-41483316770.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,461.161.382,67.799.256.481,-,1.400.004.000,-,92.171.172.145,461161382.0,67799256481.0,,1400004000.0,,92171172145.0
Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,-,-,2.328.058.040,817.147.156,-,8.994.953.760,,,2328058040.0,817147156.0,,8994953760.0
Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,Công ty TNHH Lợn giống Hà Nam,2.597.650.800,-,-,-,-,2.597.650.800,2597650800.0,,,,,2597650800.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,131.458.262.742,-,-,-,-,131.458.262.742,131458262742.0,,,,,131458262742.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,10.624.721.478,-,-,-,-,(12.404.374.016),10624721478.0,,,,,-12404374016.0
Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,Công ty TNHH Lợn giống Hải Phòng,26.612.474.364,-,-,-,-,(27.863.668.709),26612474364.0,,,,,-27863668709.0
