row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ (đồng thời là giá gốc) > Số đầu năm
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,363.473.060.065,399.560.275.514,363473060065.0,399560275514.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,363.473.060.065,399.560.275.514,363473060065.0,399560275514.0
