row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
guyên giá:,guyên giá:,guyên giá:,,,,,,,,,,
ố đầu năm,guyên giá: > ố đầu năm,ố đầu năm,785.026.874.871,488.885.498.044,95.112.706.058,7.830.974.026,1.376.856.052.999,785026874871.0,488885498044.0,95112706058.0,7830974026.0,1376856052999.0
lua trong năm,guyên giá: > lua trong năm,lua trong năm,-,9.777.160.036,5.473.990.000,124.360.000,15.375.510.036,,9777160036.0,5473990000.0,124360000.0,15375510036.0
đầu tư xây dựng cơ bản hoàn thành,guyên giá: > đầu tư xây dựng cơ bản hoàn thành,đầu tư xây dựng cơ bản hoàn thành,408.280.103.966,144.606.836.569,441.818.182,1.506.579.682,554.835.338.399,408280103966.0,144606836569.0,441818182.0,1506579682.0,554835338399.0
Phân loại từ tài sản thuê tài chính,guyên giá: > Phân loại từ tài sản thuê tài chính,Phân loại từ tài sản thuê tài chính,-,33.596.105.576,-,-,33.596.105.576,,33596105576.0,,,33596105576.0
Thuyết minh số 11),guyên giá: > Thuyết minh số 11),Thuyết minh số 11),,,,,(218.258.422.039),,,,,-218258422039.0
tài sản điều chuyển cho công ty con (*),guyên giá: > tài sản điều chuyển cho công ty con (*),tài sản điều chuyển cho công ty con (*),(83.182.885.013),(135.075.537.026),-,-,(11.551.898.540),-83182885013.0,-135075537026.0,,,-11551898540.0
"Thanh lý, nhượng bán","guyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.176.646.993),(7.458.565.321),(525.707.272),(390.978.954),,-3176646993.0,-7458565321.0,-525707272.0,-390978954.0,
Số cuối năm,guyên giá: > Số cuối năm,Số cuối năm,1.106.947.446.831,534.331.497.878,100.502.806.968,9.070.934.754,1.750.852.686.431,1106947446831.0,534331497878.0,100502806968.0,9070934754.0,1750852686431.0
Trong đó:Dã khấu hao hết,guyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,3.193.062.938,59.976.140.763,31.034.734.259,3.959.845.811,98.163.783.771,3193062938.0,59976140763.0,31034734259.0,3959845811.0,98163783771.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,203.589.384.382,201.142.431.312,63.549.382.938,6.790.757.333,475.071.955.965,203589384382.0,201142431312.0,63549382938.0,6790757333.0,475071955965.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,46.192.200.471,35.080.732.754,5.876.410.073,608.339.713,87.757.683.011,46192200471.0,35080732754.0,5876410073.0,608339713.0,87757683011.0
Phân loại từ tài sản thuê tài chính,Giá trị khấu hao lũy kế: > Phân loại từ tài sản thuê tài chính,Phân loại từ tài sản thuê tài chính,-,21.107.014.399,-,-,21.107.014.399,,21107014399.0,,,21107014399.0
(Thuyết minh số 11),Giá trị khấu hao lũy kế: > (Thuyết minh số 11),(Thuyết minh số 11),,(7.458.565.321),(336.600.000),(580.086.226),(11.551.898.540),,-7458565321.0,-336600000.0,-580086226.0,-11551898540.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.176.646.993),(2.907.559.752),-,-,(3.291.878.534),-3176646993.0,-2907559752.0,,,-3291878534.0
Giảm khác (*),Giá trị khấu hao lũy kế: > Giảm khác (*),Giảm khác (*),(384.318.782),,,,,-384318782.0,,,,
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,246.220.619.078,246.964.053.392,69.089.193.011,6.819.010.820,569.092.876.301,246220619078.0,246964053392.0,69089193011.0,6819010820.0,569092876301.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,581.437.490.489,287.743.066.732,31.563.323.120,1.040.216.693,901.784.097.034,581437490489.0,287743066732.0,31563323120.0,1040216693.0,901784097034.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,860.726.827.753,287.367.444.486,31.413.613.957,2.251.923.934,1.181.759.810.130,860726827753.0,287367444486.0,31413613957.0,2251923934.0,1181759810130.0
Trong đó:Tài sản sử dụng để thế chấp(xem Thuyết minh số 20) (**),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp(xem Thuyết minh số 20) (**),Trong đó:Tài sản sử dụng để thế chấp(xem Thuyết minh số 20) (**),518.830.064.164,196.267.541.238,1.492.926.030,-,716.590.531.432,518830064164.0,196267541238.0,1492926030.0,,716590531432.0
"(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.","(*) Trong kỳ, Công ty đã thực hiện điều chuyển một số tài sản cố định cho các công ty con, bao gồm Công ty TNHH Dịch vụ Thương mại Bắc Ninh, Công ty TNHH Lợn giống hạt nhân Dabaco và Công ty TNHH MTV Thương mại Hiệp Quang.(**) Vào ngày 31 tháng 12 năm 2018, một số tài sản cố định là khách sạn, siêu thị, nhà xưởng, máy móc thiết bị sản xuất và dây chuyển sản xuất thức ăn chăn nuôi với giá trị còn lại là khoảng 716 tỷ đồng Việt Nam đã được sử dụng làm tài sản thế chấp cho các khoản vay tại các ngân hàng thương mại như đã được trình bày trong Thuyết minh số 20.",,,,,
