row_label_raw,row_label_full,Lợi nhuận được chia từ các công ty con(Thuyết minh số 30),Năm nay > 49.203.510.133,Đơn vị tính: VND > Năm trước > 170.479.180.261,numeric__Năm nay > 49.203.510.133,numeric__Đơn vị tính: VND > Năm trước > 170.479.180.261
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,24.341.639.349,27.606.661.643,24341639349.0,27606661643.0
Doanh thu từ chuyển nhượng công ty con,Doanh thu từ chuyển nhượng công ty con,Doanh thu từ chuyển nhượng công ty con,15.000.000.000,-,15000000000.0,
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,39.108.661,591.047.909,39108661.0,591047909.0
Lãi trả chậm,Lãi trả chậm,Lãi trả chậm,-,10.293.642.000,,10293642000.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,88.584.258.143,208.970.531.813,88584258143.0,208970531813.0
