row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,592.749.816.795,765.153.786.365,,592749816795.0,765153786365.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,225.952.257.890,226.074.124.056,,225952257890.0,226074124056.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,232.930.961.802,243.766.440.550,,232930961802.0,243766440550.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,238.749.538.529,213.919.162.466,,238749538529.0,213919162466.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,100.110.554.905,105.091.690.600,,100110554905.0,105091690600.0
Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty Cổ phần Chế biến Thực phẩm Dabaco,Công ty liên kết,-,4.894.209.088,,,4894209088.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,76.616.724.938,85.459.278.134,,76616724938.0,85459278134.0
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,260.248.066.395,206.168.525.722,,260248066395.0,206168525722.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,-,,,
Công ty TNHH cảng Dabaco Tân Chi,Công ty Cổ phần Transeco > Công ty TNHH cảng Dabaco Tân Chi,Công ty TNHH cảng Dabaco Tân Chi,Công ty con,43.804.411.126,44.746.333.836,,43804411126.0,44746333836.0
Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Lạc Vệ,Công ty Cổ phần Transeco > Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Lạc Vệ,Công ty TNHH Lợn giống Lương Tài Công ty TNHH Lợn giống Lạc Vệ,Công ty con,37.809.393.999,23.029.095.494,,37809393999.0,23029095494.0
