row_label_raw,row_label_full,18.2. Chi tiết vốn góp của chủ sở hữu,31/12/2017,%,01/01/2017,%_1,numeric__31/12/2017,numeric__%,numeric__01/01/2017,numeric__%_1
Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,Vốn góp của công ty mẹ,,,,,,,,
Vốn góp của các đối tượng khác,Vốn góp của công ty mẹ > Vốn góp của các đối tượng khác,Vốn góp của các đối tượng khác,2.419.338.530.000,"100,00%",2.199.398.670.000,"100,00%",2419338530000.0,1.0,2199398670000.0,1.0
Cộng,Vốn góp của công ty mẹ > Cộng,Cộng,2.419.338.530.000,"100,00%",2.199.398.670.000,"100,00%",2419338530000.0,1.0,2199398670000.0,1.0
