row_label_raw,row_label_full,col_0,Gía trị,Dự phòng,Gía trị_1,Dự phòng_1,numeric__Gía trị,numeric__Dự phòng,numeric__Gía trị_1,numeric__Dự phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,264.597.353.371,,178.953.787.323,,264597353371.0,,178953787323.0,
Tạm ứng,Tạm ứng,Tạm ứng,119.066.753.735,,133.141.274.230,,119066753735.0,,133141274230.0,
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,2.796.797.047,,1.793.523.271,,2796797047.0,,1793523271.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",1.568.000.000,,1.568.000.000,,1568000000.0,,1568000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,156.825.897.087,,42.450.989.822,,156825897087.0,,42450989822.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,6.147.890.629,,2.217.545.103,,6147890629.0,,2217545103.0,
Tạm ứng,Tạm ứng,Tạm ứng,,,,,,,,
"Ký cược, ký quỹ","Tạm ứng > Ký cược, ký quỹ","Ký cược, ký quỹ",1.407.763.629,,2.217.545.103,,1407763629.0,,2217545103.0,
Phải thu khác,Tạm ứng > Phải thu khác,Phải thu khác,4.740.127.000,,,,4740127000.0,,,
Cộng,Tạm ứng > Cộng,Cộng,270.745.244.000,,181.171.332.426,,270745244000.0,,181171332426.0,
