row_label_raw,row_label_full,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNHa) Chứng khoán kinh doanhb) Đầu tư nằm giữ đến ngày đáo hạn,31/12/2017 > Giá gốc,31/12/2017 > Giá trị ghi sô,31/12/2017,01/01/2017 > Giá gốc,01/01/2017 > Giá trị ghi sô,01/01/2017,numeric__31/12/2017 > Giá gốc,numeric__31/12/2017 > Giá trị ghi sô,numeric__31/12/2017,numeric__01/01/2017 > Giá gốc,numeric__01/01/2017 > Giá trị ghi sô,numeric__01/01/2017
b1) Ngắn hạn- Tiền gửi có kỳ hạn,b1) Ngắn hạn- Tiền gửi có kỳ hạn,b1) Ngắn hạn- Tiền gửi có kỳ hạn,249.039.724.107,249.039.724.107,,372.139.724.107,372.139.724.107,,249039724107.0,249039724107.0,,372139724107.0,372139724107.0,
b1) Ngắn hạn- Tiền gửi có kỳ hạn,b1) Ngắn hạn- Tiền gửi có kỳ hạn,b1) Ngắn hạn- Tiền gửi có kỳ hạn,249.039.724.107,249.039.724.107,,372.139.724.107,372.139.724.107,,249039724107.0,249039724107.0,,372139724107.0,372139724107.0,
b2) Dài hạn- Tiền gửi có kỳ hạn,b2) Dài hạn- Tiền gửi có kỳ hạn,b2) Dài hạn- Tiền gửi có kỳ hạn,5.110.000.000,5.110.000.000,,5.110.000.000,5.110.000.000,,5110000000.0,5110000000.0,,5110000000.0,5110000000.0,
b2) Dài hạn- Tiền gửi có kỳ hạn,b2) Dài hạn- Tiền gửi có kỳ hạn,b2) Dài hạn- Tiền gửi có kỳ hạn,5.110.000.000,5.110.000.000,,5.110.000.000,5.110.000.000,,5110000000.0,5110000000.0,,5110000000.0,5110000000.0,
Cộng,Cộng,Cộng,254.149.724.107,254.149.724.107,,377.249.724.107,377.249.724.107,,254149724107.0,254149724107.0,,377249724107.0,377249724107.0,
"c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết",31/12/2017,31/12/2017,31/12/2017,01/01/2017,01/01/2017,01/01/2017,,,,,,
"c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết",Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá hợp lý,Dự phòng,Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá hợp lý,Dự phòng,,,,,,
"Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia","c) Đầu tư vào công ty liên doanh, liên kết > Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia","Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia",871.459.601.752,791.944.795.800,,845.036.878.902,291.806.686.020,,871459601752.0,791944795800.0,,845036878902.0,291806686020.0,
"Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia","c) Đầu tư vào công ty liên doanh, liên kết > Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia","Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia",871.459.601.752,791.944.795.800,,845.036.878.902,291.806.686.020,,871459601752.0,791944795800.0,,845036878902.0,291806686020.0,
d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,d) Đầu tư vào đơn vị khác,31/12/2017,31/12/2017,31/12/2017,01/01/2017,01/01/2017,01/01/2017,,,,,,
