row_label_raw,row_label_full,"TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_1","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_2","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_3","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_4","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_5","TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_6","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_1","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_2","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_3","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_4","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_5","numeric__TĂNG, GIĂM TÀI SĂN CÓ ĐỊNH HỮU HÌNH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu năm,I. Nguyên giá > 1. Số dư đầu năm,1. Số dư đầu năm,160.795.633.841,60.747.613.763,30.138.676.715,3.715.771.747,3.983.492.410,259.381.188.476,160795633841.0,60747613763.0,30138676715.0,3715771747.0,3983492410.0,259381188476.0
2. Số tăng trong kỳ,I. Nguyên giá > 2. Số tăng trong kỳ,2. Số tăng trong kỳ,11.077.922.317,149.545.455,8.913.411.545,291.922.173,242.304.545,20.675.106.035,11077922317.0,149545455.0,8913411545.0,291922173.0,242304545.0,20675106035.0
- Mua trong kỳ,I. Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,373.088.000,149.545.455,5.686.338.817,154.525.455,242.304.545,6.605.802.272,373088000.0,149545455.0,5686338817.0,154525455.0,242304545.0,6605802272.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,10.704.834.317,,,,,10.704.834.317,10704834317.0,,,,,10704834317.0
- Tăng khác,I. Nguyên giá > - Tăng khác,- Tăng khác,,,3.227.072.728,137.396.718,,3.364.469.446,,,3227072728.0,137396718.0,,3364469446.0
3. Số giảm trong kỳ,I. Nguyên giá > 3. Số giảm trong kỳ,3. Số giảm trong kỳ,225.312.022,3.065.703.196,1.348.882.967,640.315.685,,5.280.213.870,225312022.0,3065703196.0,1348882967.0,640315685.0,,5280213870.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",157.089.295,3.065.703.196,1.348.882.967,640.315.685,,5.211.991.143,157089295.0,3065703196.0,1348882967.0,640315685.0,,5211991143.0
- Giảm khác,- Chuyển sang BDS đầu tư > - Giảm khác,- Giảm khác,68.222.727,,,,,68.222.727,68222727.0,,,,,68222727.0
4. Số dư cuối kỳ,- Chuyển sang BDS đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,171.648.244.136,57.831.456.022,37.703.205.293,3.367.378.235,4.225.796.955,274.776.080.641,171648244136.0,57831456022.0,37703205293.0,3367378235.0,4225796955.0,274776080641.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu năm,1. Số dư đầu năm,49.231.060.143,31.612.294.522,12.721.136.332,1.689.645.500,740.951.491,95.995.087.988,49231060143.0,31612294522.0,12721136332.0,1689645500.0,740951491.0,95995087988.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,5.373.351.730,3.247.137.664,4.955.146.203,612.685.247,113.637.156,14.301.958.000,5373351730.0,3247137664.0,4955146203.0,612685247.0,113637156.0,14301958000.0
- Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,5.347.515.146,3.247.137.664,3.809.558.963,530.959.591,113.637.156,13.048.808.520,5347515146.0,3247137664.0,3809558963.0,530959591.0,113637156.0,13048808520.0
- Tăng khác,II. Giá trị hao mòn luỹ kế > - Tăng khác,- Tăng khác,25.836.584,,1.145.587.240,81.725.656,,1.253.149.480,25836584.0,,1145587240.0,81725656.0,,1253149480.0
3. Giảm trong kỳ,II. Giá trị hao mòn luỹ kế > 3. Giảm trong kỳ,3. Giảm trong kỳ,149.161.482,2.699.640.945,1.348.882.967,640.315.685,,4.838.001.079,149161482.0,2699640945.0,1348882967.0,640315685.0,,4838001079.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,2.673.804.361,1.348.882.967,640.315.685,,4.663.003.013,,2673804361.0,1348882967.0,640315685.0,,4663003013.0
- Giảm khác,- Chuyển sang BDS đầu tư > - Giảm khác,- Giảm khác,149.161.482,25.836.584,,,,174.998.066,149161482.0,25836584.0,,,,174998066.0
4. Số dư cuối kỳ,- Chuyển sang BDS đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,54.455.250.391,32.159.791.241,16.327.399.568,1.662.015.062,854.588.647,105.459.044.909,54455250391.0,32159791241.0,16327399568.0,1662015062.0,854588647.0,105459044909.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,111.564.573.698,29.135.319.241,17.417.540.383,2.026.126.247,3.242.540.919,163.386.100.488,111564573698.0,29135319241.0,17417540383.0,2026126247.0,3242540919.0,163386100488.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,117.192.993.745,25.671.664.781,21.375.805.725,1.705.363.173,3.371.208.308,169.317.035.732,117192993745.0,25671664781.0,21375805725.0,1705363173.0,3371208308.0,169317035732.0
