row_label_raw,row_label_full,Tại thúc tại ngày 31/12/2017,Từ 01 năm trở xuống,Trên 01 năm đến 05 năm,Trên 05 năm,Cộng,numeric__Từ 01 năm trở xuống,numeric__Trên 01 năm đến 05 năm,numeric__Trên 05 năm,numeric__Cộng
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,312.694.001.658,,,312.694.001.658,312694001658.0,,,312694001658.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,906.667.257.582,,,906.667.257.582,906667257582.0,,,906667257582.0
Vay và nợ,Vay và nợ,Vay và nợ,716.434.488.995,612.814.374.587,,1.329.248.863.582,716434488995.0,612814374587.0,,1329248863582.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,
Chi phí phải trả,Trái phiếu chuyển đổi > Chi phí phải trả,Chi phí phải trả,411.599.857,,,,411599857.0,,,
Các khoản phải trả phải nộp khác,Trái phiếu chuyển đổi > Các khoản phải trả phải nộp khác,Các khoản phải trả phải nộp khác,67.439.783.130,2.077.499.019,,69.517.282.149,67439783130.0,2077499019.0,,69517282149.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,2.003.647.131.222,614.891.873.606,,2.618.127.404.971,2003647131222.0,614891873606.0,,2618127404971.0
