row_label_raw,row_label_full,b) Vay dài hạn > Trên 1 năm đến 5 năm,31/12/2017 > Giá trị > 611.049.244.587,31/12/2017 > Số có khả năngtrà nợ > 611.049.244.587,Trong năm > Tăng > 490.411.035.316,Trong năm > Giảm > 399.888.851.333,01/01/2017 > Giá trị > 520.527.060.604,01/01/2017 > Số có khả năng trảnợ > 520.527.060.604,numeric__31/12/2017 > Giá trị > 611.049.244.587,numeric__31/12/2017 > Số có khả năngtrà nợ > 611.049.244.587,numeric__Trong năm > Tăng > 490.411.035.316,numeric__Trong năm > Giảm > 399.888.851.333,numeric__01/01/2017 > Giá trị > 520.527.060.604,numeric__01/01/2017 > Số có khả năng trảnợ > 520.527.060.604
- VND,- VND,- VND,611.049.244.587,611.049.244.587,490.411.035.316,399.888.851.333,520.527.060.604,520.527.060.604,611049244587.0,611049244587.0,490411035316.0,399888851333.0,520527060604.0,520527060604.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,1.765.130.000,1.765.130.000,,5.100.000.000,6.865.130.000,6.865.130.000,1765130000.0,1765130000.0,,5100000000.0,6865130000.0,6865130000.0
- Ngân hàng,- Ngân hàng,- Ngân hàng,,,,,,,,,,,,
- Ngân hàng Ngoại thương,- Ngân hàng Ngoại thương,- Ngân hàng Ngoại thương,,,,,,,,,,,,
An Giang,- Ngân hàng Ngoại thương > An Giang,An Giang,1.765.130.000,1.765.130.000,,5.100.000.000,6.865.130.000,6.865.130.000,1765130000.0,1765130000.0,,5100000000.0,6865130000.0,6865130000.0
Cộng,- Ngân hàng Ngoại thương > Cộng,Cộng,612.814.374.587,612.814.374.587,490.411.035.316,404.988.851.333,527.392.190.604,527.392.190.604,612814374587.0,612814374587.0,490411035316.0,404988851333.0,527392190604.0,527392190604.0
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,,,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,,,
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,,,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trảnợ,,,,,,
a) Ngân hạn,14 . PHẢI TRẢ NGƯỜI BÁN > a) Ngân hạn,a) Ngân hạn,,,312.694.001.658,312.694.001.658,227.133.493.515,227.133.493.515,,,312694001658.0,312694001658.0,227133493515.0,227133493515.0
+ Cty CP Seatecco,14 . PHẢI TRẢ NGƯỜI BÁN > + Cty CP Seatecco,+ Cty CP Seatecco,,,20.856.647.315,20.856.647.315,29.703.496.630,29.703.496.630,,,20856647315.0,20856647315.0,29703496630.0,29703496630.0
+ Công ty CP Đầu tư DL & PT Thủy Sản,+ Công ty CP Đầu tư DL & PT Thủy Sản,+ Công ty CP Đầu tư DL & PT Thủy Sản,,,,,,,,,,,,
+ Công ty TNHH MTV Toàn Cầu,+ Công ty CP Đầu tư DL & PT Thủy Sản > + Công ty TNHH MTV Toàn Cầu,+ Công ty TNHH MTV Toàn Cầu,,,25.555.652.066,25.555.652.066,3.184.181.262,3.184.181.262,,,25555652066.0,25555652066.0,3184181262.0,3184181262.0
+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Đầu tư DL & PT Thủy Sản > + Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,+ Công ty CP Xuất Khẩu Thủy Hải Sản Sạch,,,,,21.040.504.136,21.040.504.136,,,,,21040504136.0,21040504136.0
+ Công ty TNHH JIANGSU MUYANG HOLDINGS,+ Công ty CP Đầu tư DL & PT Thủy Sản > + Công ty TNHH JIANGSU MUYANG HOLDINGS,+ Công ty TNHH JIANGSU MUYANG HOLDINGS,,,57.617.923.000,57.617.923.000,64.436.923.000,64.436.923.000,,,57617923000.0,57617923000.0,64436923000.0,64436923000.0
+ Công ty CP Đầu tư Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư DL & PT Thủy Sản > + Công ty CP Đầu tư Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư Phát triển Đa Quốc Gia IDI,,,,,4.134.954.914,4.134.954.914,,,,,4134954914.0,4134954914.0
Đối tượng khác,+ Công ty CP Đầu tư DL & PT Thủy Sản > Đối tượng khác,Đối tượng khác,,,208.988.214.277,208.988.214.277,104.633.433.573,104.633.433.573,,,208988214277.0,208988214277.0,104633433573.0,104633433573.0
b) Dài hạn,+ Công ty CP Đầu tư DL & PT Thủy Sản > b) Dài hạn,b) Dài hạn,,,65.510.800,65.510.800,329.676.689,329.676.689,,,65510800.0,65510800.0,329676689.0,329676689.0
+ Phải trả cho các đối tượng khác,+ Công ty CP Đầu tư DL & PT Thủy Sản > + Phải trả cho các đối tượng khác,+ Phải trả cho các đối tượng khác,,,65.510.800,65.510.800,329.676.689,329.676.689,,,65510800.0,65510800.0,329676689.0,329676689.0
Cộng,+ Công ty CP Đầu tư DL & PT Thủy Sản > Cộng,Cộng,,,312.759.512.458,312.759.512.458,227.463.170.204,227.463.170.204,,,312759512458.0,312759512458.0,227463170204.0,227463170204.0
