row_label_raw,row_label_full,col_0,Giá trị sổ sách > 31/12/2017 > Giá trị,Giá trị sổ sách > 31/12/2017 > Dự phòng,Giá trị sổ sách > 01/01/2017 > Giá trị,Giá trị sổ sách > 01/01/2017 > Dự phòng,Giá trị hợp lý > 31/12/2017,Giá trị hợp lý > 01/01/2017,numeric__Giá trị sổ sách > 31/12/2017 > Giá trị,numeric__Giá trị sổ sách > 31/12/2017 > Dự phòng,numeric__Giá trị sổ sách > 01/01/2017 > Giá trị,numeric__Giá trị sổ sách > 01/01/2017 > Dự phòng,numeric__Giá trị hợp lý > 31/12/2017,numeric__Giá trị hợp lý > 01/01/2017
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,253.200.049.001,,211.492.893.500,,253.200.049.001,211.492.893.500,253200049001.0,,211492893500.0,,253200049001.0,211492893500.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,437.327.817.669,,376.373.447.012,,437.327.817.669,376.373.447.012,437327817669.0,,376373447012.0,,437327817669.0,376373447012.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,1.165.173.019.716,,843.928.366.079,,1.165.173.019.716,843.928.366.079,1165173019716.0,,843928366079.0,,1165173019716.0,843928366079.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,270.745.244.000,,181.171.332.426,,270.745.244.000,181.171.332.426,270745244000.0,,181171332426.0,,270745244000.0,181171332426.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,249.039.724.107,,372.139.724.107,,249.039.724.107,372.139.724.107,249039724107.0,,372139724107.0,,249039724107.0,372139724107.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,902.229.601.752,(1.495.242.779),890.206.878.902,(2.031.126.510),900.734.358.973,888.175.752.392,902229601752.0,-1495242779.0,890206878902.0,-2031126510.0,900734358973.0,888175752392.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.277.715.456.245,(1.495.242.779),2.875.312.642.026,(2.031.126.510),3.276.220.213.466,2.873.281.515.516,3277715456245.0,-1495242779.0,2875312642026.0,-2031126510.0,3276220213466.0,2873281515516.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,312.759.512.458,,227.463.170.204,,312.759.512.458,227.463.170.204,312759512458.0,,227463170204.0,,312759512458.0,227463170204.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,906.667.257.582,,673.515.281.344,,906.667.257.582,673.515.281.344,906667257582.0,,673515281344.0,,906667257582.0,673515281344.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,1.329.248.863.582,,1.128.096.020.469,,1.329.248.863.582,1.128.096.020.469,1329248863582.0,,1128096020469.0,,1329248863582.0,1128096020469.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,1.162.116.600,,478.179.233,,1.162.116.600,478.179.233,1162116600.0,,478179233.0,,1162116600.0,478179233.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,69.517.282.149,,66.703.611.103,,69.517.282.149,66.703.611.103,69517282149.0,,66703611103.0,,69517282149.0,66703611103.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,2.619.355.032.371,,2.096.256.262.353,,2.619.355.032.371,2.096.256.262.353,2619355032371.0,,2096256262353.0,,2619355032371.0,2096256262353.0
