row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ",Năm 2017 > 406.778.835,Năm 2016,numeric__Năm 2017 > 406.778.835,numeric__Năm 2016
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,50.984.192,3.371.827.384,50984192.0,3371827384.0
Các khoản khác,Các khoản khác,Các khoản khác,2.275.263.492,1.447.118.973,2275263492.0,1447118973.0
Cộng,Cộng,Cộng,2.733.026.519,4.818.946.357,2733026519.0,4818946357.0
