row_label_raw,row_label_full,b) Xây dựng cơ bản dở dang,31/12/2017,01/01/2017,numeric__31/12/2017,numeric__01/01/2017
Mua sắm,Mua sắm,Mua sắm,Mua sắm,Mua sắm,,
Xây dựng cơ bản,Mua sắm > Xây dựng cơ bản,Xây dựng cơ bản,98.399.177.688,51.598.658.406,98399177688.0,51598658406.0
- Đường GTGT BK3,Mua sắm > - Đường GTGT BK3,- Đường GTGT BK3,1.147.923.083,1.147.923.083,1147923083.0,1147923083.0
- Khu dân cư Hoà Bình,Mua sắm > - Khu dân cư Hoà Bình,- Khu dân cư Hoà Bình,1.653.591.160,1.653.591.160,1653591160.0,1653591160.0
- Khu văn phòng và nhà ở cao tầng - HCM,Mua sắm > - Khu văn phòng và nhà ở cao tầng - HCM,- Khu văn phòng và nhà ở cao tầng - HCM,47.380.200.000,47.380.200.000,47380200000.0,47380200000.0
- Công trình Cồn Bình Thạnh - Huyện Cao Lãnh,Mua sắm > - Công trình Cồn Bình Thạnh - Huyện Cao Lãnh,- Công trình Cồn Bình Thạnh - Huyện Cao Lãnh,462.649.706,462.649.706,462649706.0,462649706.0
- Khu Đô Thị Mỹ Tho,Mua sắm > - Khu Đô Thị Mỹ Tho,- Khu Đô Thị Mỹ Tho,882.034.099,882.034.099,882034099.0,882034099.0
- Khu Dân cư Cà Mau,Mua sắm > - Khu Dân cư Cà Mau,- Khu Dân cư Cà Mau,32.961.414.186,,32961414186.0,
- Cải tạo Trung tâm văn hóa du lịch,Mua sắm > - Cải tạo Trung tâm văn hóa du lịch,- Cải tạo Trung tâm văn hóa du lịch,7.115.820.000,48.260.358,7115820000.0,48260358.0
- Công trình khác,Mua sắm > - Công trình khác,- Công trình khác,6.795.545.454,24.000.000,6795545454.0,24000000.0
Cộng,Mua sắm > Cộng,Cộng,98.399.177.688,51.598.658.406,98399177688.0,51598658406.0
