row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_1,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_2,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_3,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_4,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_5,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_6,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_7,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_1,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_2,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_3,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_4,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_5,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_6,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT Năm 2017_7
- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,- Tài sản và nợ phải trả bộ phận theo khu vực địa lý,,,,,,,
,,,31/12/2017,31/12/2017,31/12/2017,31/12/2017,01/01/2017,01/01/2017,01/01/2017,,,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,An Giang,Đồng Tháp,Tổng cộng,,,,,,,
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,2.917.591.552.400,660.581.778.793,1.965.540.101.214,5.543.713.432.407,4.728.167.595.036,92.682.979.392,4.820.850.574.428,2917591552400.0,660581778793.0,1965540101214.0,5543713432407.0,4728167595036.0,92682979392.0,4820850574428.0
Tài sản không phân bổ,Chỉ tiêu > Tài sản không phân bổ,Tài sản không phân bổ,,,,67.079.338.597,,,59.671.862.571,,,,67079338597.0,,,59671862571.0
Tổng tài sản,Chỉ tiêu > Tổng tài sản,Tổng tài sản,2.917.591.552.400,660.581.778.793,1.965.540.101.214,5.610.792.771.004,4.728.167.595.036,92.682.979.392,4.880.522.436.999,2917591552400.0,660581778793.0,1965540101214.0,5610792771004.0,4728167595036.0,92682979392.0,4880522436999.0
Nợ phải trả bộ phận,Chỉ tiêu > Nợ phải trả bộ phận,Nợ phải trả bộ phận,718.183.815.733,732.864.147.869,353.702.242.229,1.804.750.205.831,2.197.493.130.910,38.390.813.109,2.235.883.944.019,718183815733.0,732864147869.0,353702242229.0,1804750205831.0,2197493130910.0,38390813109.0,2235883944019.0
Nợp phải trả không phân bổ,Chỉ tiêu > Nợp phải trả không phân bổ,Nợp phải trả không phân bổ,,,,964.537.739.156,,,64.608.727,,,,964537739156.0,,,64608727.0
Tổng nợ phải trả,Chỉ tiêu > Tổng nợ phải trả,Tổng nợ phải trả,718.183.815.733,732.864.147.869,353.702.242.229,2.769.287.944.987,2.197.493.130.910,38.390.813.109,2.235.948.552.746,718183815733.0,732864147869.0,353702242229.0,2769287944987.0,2197493130910.0,38390813109.0,2235948552746.0
b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,b. Báo cáo bộ phận thứ yếu theo lĩnh vực kinh doanh Năm 2017,,,,,,,
