row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc VCSH,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc VCSH,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,2.199.398.670.000,45.056.200.000,29.741.625.938,4.971.647.795,145.064.513.594,11.925.659.937,2.436.158.317.264,2199398670000.0,45056200000.0,29741625938.0,4971647795.0,145064513594.0,11925659937.0,2436158317264.0
Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,Tăng vốn trong kỳ trước,,,,,,,,,,,,,,
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,,,,,,,,,,,,
Lãi trong kỳ trước,Lợi ích cổ đông không kiểm soát > Lãi trong kỳ trước,Lãi trong kỳ trước,,,,,173.116.771.924,667.963.566,173.784.735.490,,,,,173116771924.0,667963566.0,173784735490.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,,,,,,,,,,,,
Tăng khác,Tăng do trích lập từ lợi nhuận > Tăng khác,Tăng khác,,48.000.000,23.937.898.719,,,26.743.071.373,50.728.970.092,,48000000.0,23937898719.0,,,26743071373.0,50728970092.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,,,
Giảm khác,Thù lao hội đồng quản trị > Giảm khác,Giảm khác,,,,,(16.098.138.593),,(16.098.138.593),,,,,-16098138593.0,,-16098138593.0
Số dư đầu kỳ này,Thù lao hội đồng quản trị > Số dư đầu kỳ này,Số dư đầu kỳ này,2.199.398.670.000,45.104.200.000,53.679.524.657,4.971.647.795,302.083.146.925,39.336.694.876,2.644.573.884.253,2199398670000.0,45104200000.0,53679524657.0,4971647795.0,302083146925.0,39336694876.0,2644573884253.0
Tăng vốn trong kỳ này,Thù lao hội đồng quản trị > Tăng vốn trong kỳ này,Tăng vốn trong kỳ này,219.939.860.000,,,,,,219.939.860.000,219939860000.0,,,,,,219939860000.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,,,,,,,,,,,,,,
Lãi trong kỳ này,Góp vốn từ cổ đông không kiểm soát > Lãi trong kỳ này,Lãi trong kỳ này,,,,,174.211.874.253,(6.475.801.817),167.736.072.436,,,,,174211874253.0,-6475801817.0,167736072436.0
Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,,,,,,,,,,,
Tăng khác,Tăng do trích từ lợi nhuận > Tăng khác,Tăng khác,2.555.126.000,,,,1.200.000,32.529.254.144,35.085.580.144,2555126000.0,,,,1200000.0,32529254144.0,35085580144.0
Trích quỹ từ lợi nhuận,Tăng do trích từ lợi nhuận > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,12.677.188.351,,(15.986.268.344),(26.504.823),(3.335.584.816),,,12677188351.0,,-15986268344.0,-26504823.0,-3335584816.0
Chia cổ tức,Tăng do trích từ lợi nhuận > Chia cổ tức,Chia cổ tức,(2.555.126.000),,,,(219.939.860.000),,(222.494.986.000),-2555126000.0,,,,-219939860000.0,,-222494986000.0
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,,,
Số dư cuối kỳ này,Giảm khác > Số dư cuối kỳ này,Số dư cuối kỳ này,2.419.338.530.000,45.104.200.000,66.356.713.008,4.971.647.795,240.370.092.834,65.363.642.380,2.841.504.826.017,2419338530000.0,45104200000.0,66356713008.0,4971647795.0,240370092834.0,65363642380.0,2841504826017.0
