row_label_raw,row_label_full,col_0,Phương tiện vận tải VND,Thiết bị quản lý VND,Cộng VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,12.924.264.002,343.216.798,13.267.480.800,12924264002.0,343216798.0,13267480800.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,205.598.415,-,205.598.415,205598415.0,,205598415.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,13.129.862.417,343.216.798,13.473.079.215,13129862417.0,343216798.0,13473079215.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,
Số dư đầu năm,HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.807.837.039,243.303.721,2.051.140.760,1807837039.0,243303721.0,2051140760.0
Khẩu hao trong năm,HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.909.829.914,18.600.000,1.928.429.914,1909829914.0,18600000.0,1928429914.0
Số dư cuối năm,HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.717.666.953,261.903.721,3.979.570.674,3717666953.0,261903721.0,3979570674.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,11.116.426.963,99.913.077,11.216.340.040,11116426963.0,99913077.0,11216340040.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,9.412.195.464,81.313.077,9.493.508.541,9412195464.0,81313077.0,9493508541.0
