row_label_raw,row_label_full,col_0,Bản chất bên liên quan,numeric__Bản chất bên liên quan
Công ty CP Đầu tư DVTC Hoàng Huy,Công ty CP Đầu tư DVTC Hoàng Huy,Công ty CP Đầu tư DVTC Hoàng Huy,Cùng cổ đông lớn và thành viên HĐQT,
Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty liên kết,
Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty liên kết,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty liên kết,
