row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc VND,Miền Trung VND,Miền Nam VND,Cộng VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Miền Nam VND,numeric__Cộng VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,653.625.293.478,270.778.068.671,652.439.818.221,1.576.843.180.370,653625293478.0,270778068671.0,652439818221.0,1576843180370.0
"- Doanh thu bán hàng hóa, thành phẩm","- Doanh thu bán hàng hóa, thành phẩm","- Doanh thu bán hàng hóa, thành phẩm",653.122.613.151,270.778.068.671,652.439.818.221,1.576.340.500.043,653122613151.0,270778068671.0,652439818221.0,1576340500043.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,502.680.327,-,-,502.680.327,502680327.0,,,502680327.0
2. Giá vốn,2. Giá vốn,2. Giá vốn,596.377.886.811,260.131.839.994,632.322.868.989,1.488.832.595.794,596377886811.0,260131839994.0,632322868989.0,1488832595794.0
- Giá vốn của hàng hóa thành phẩm đã bán,- Giá vốn của hàng hóa thành phẩm đã bán,- Giá vốn của hàng hóa thành phẩm đã bán,595.624.419.919,260.131.839.994,632.322.868.989,1.488.079.128.902,595624419919.0,260131839994.0,632322868989.0,1488079128902.0
- Giá vốn hoạt động khác,- Giá vốn hoạt động khác,- Giá vốn hoạt động khác,753.466.892,-,-,753.466.892,753466892.0,,,753466892.0
3. Lợi nhuận gộp,3. Lợi nhuận gộp,3. Lợi nhuận gộp,57.247.406.667,10.646.228.677,20.116.949.232,88.010.584.576,57247406667.0,10646228677.0,20116949232.0,88010584576.0
"- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm",57.498.193.232,10.646.228.677,20.116.949.232,88.261.371.141,57498193232.0,10646228677.0,20116949232.0,88261371141.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,(250.786.565),-,-,(250.786.565),-250786565.0,,,-250786565.0
4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,97.539.861.461,18.572.136.971,39.214.427.074,155.326.425.506,97539861461.0,18572136971.0,39214427074.0,155326425506.0
"- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm","- Bán hàng hóa, thành phẩm",76.615.657.074,18.572.136.971,39.214.427.074,134.402.221.119,76615657074.0,18572136971.0,39214427074.0,134402221119.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,(250.786.565),-,-,(250.786.565),-250786565.0,,,-250786565.0
- LN khác,- LN khác,- LN khác,21.174.990.952,-,-,21.174.990.952,21174990952.0,,,21174990952.0
