row_label_raw,row_label_full,Ông Vũ Văn Cảnh,Giám đốc,numeric__Giám đốc
Ông Hoàng Thanh Tùng,Ông Hoàng Thanh Tùng,Ông Hoàng Thanh Tùng,Phó giám đốc (miễn nhiệm ngày 01/11/2016),
Ông Phạm Văn Mạn,Ông Phạm Văn Mạn,Ông Phạm Văn Mạn,Phó giám đốc (miễn nhiệm ngày 15/12/2016),
Ông Nguyễn Trung Độ,Ông Nguyễn Trung Độ,Ông Nguyễn Trung Độ,Phó giám đốc,
