row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,Công ty CP Đầu tư DV TC Hoàng Huy,,
"Mua hàng hóa, dịch vụ","Công ty CP Đầu tư DV TC Hoàng Huy > Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",401.918.900.000,606.771.809.183,401918900000.0,606771809183.0
Thanh toán và ứng trước tiền hàng,Công ty CP Đầu tư DV TC Hoàng Huy > Thanh toán và ứng trước tiền hàng,Thanh toán và ứng trước tiền hàng,248.920.074.750,248.920.074.750,248920074750.0,248920074750.0
Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,Công ty cổ phần đầu tư xây dựng Hoàng Hiệp,,
"Bán hàng hóa, thành phẩm","Công ty cổ phần đầu tư xây dựng Hoàng Hiệp > Bán hàng hóa, thành phẩm","Bán hàng hóa, thành phẩm",13.977.500.000,40.869.500.000,13977500000.0,40869500000.0
Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,Công ty cổ phần đầu tư dịch vụ Thành Nam,,
Gộp vốn,Công ty cổ phần đầu tư dịch vụ Thành Nam > Gộp vốn,Gộp vốn,208.000.000.000,-,208000000000.0,
"Bán hàng hóa, thành phẩm","Công ty cổ phần đầu tư dịch vụ Thành Nam > Bán hàng hóa, thành phẩm","Bán hàng hóa, thành phẩm",-,11.897.000.000,,11897000000.0
Nhận tiền hàng,Nhận tiền hàng,Nhận tiền hàng,-,-,,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,,
Giá trị công trình thi công bàn giao,Công ty TNHH Pruksa Việt Nam > Giá trị công trình thi công bàn giao,Giá trị công trình thi công bàn giao,20.826.854.379,20.826.854.379,20826854379.0,20826854379.0
Chi phí khác,Công ty TNHH Pruksa Việt Nam > Chi phí khác,Chi phí khác,762.519.765,-,762519765.0,
