row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,702.509.175.685,1.171.668.961.521,702509175685.0,1171668961521.0
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",171.990.725.161,34.964.901.705,171990725161.0,34964901705.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,951.688.000.000,-,951688000000.0,
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,788.081.827.022,576.886.985.528,788081827022.0,576886985528.0
Cộng,Tài sản tài chính > Cộng,Cộng,2.614.269.727.868,1.783.520.848.754,2614269727868.0,1783520848754.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,-,75.000.000.000,,75000000000.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,50.000.689.700,48.958.710.550,50000689700.0,48958710550.0
Chỉ phí phải trả,Công nợ tài chính > Chỉ phí phải trả,Chỉ phí phải trả,-,613.636.373,,613636373.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,642.388.897,1.526.779.294,642388897.0,1526779294.0
Cộng,Công nợ tài chính > Cộng,Cộng,50.643.078.597,126.099.126.217,50643078597.0,126099126217.0
