row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ dự trữbổ sung vốnđiều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Các quỹ khácTriệu VND,Lợi nhuận sau thuếchưa phân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ dự trữbổ sung vốnđiều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Các quỹ khácTriệu VND,numeric__Lợi nhuận sau thuếchưa phân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000,(34.200),85.962,181.131,3,130.990,3.363.886,3000000.0,-34200.0,85962.0,181131.0,3.0,130990.0,3363886.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,201.693,201.693,,,,,,201693.0,201693.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,6.049,12.099,-,(18.148),-,,,6049.0,12099.0,,-18148.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(13.982),(13.982),,,,,,-13982.0,-13982.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,3.000.000,(34.200),92.011,193.230,3,300.553,3.551.597,3000000.0,-34200.0,92011.0,193230.0,3.0,300553.0,3551597.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,231.889,231.889,,,,,,231889.0,231889.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,10.085,20.169,-,(30.254),-,,,10085.0,20169.0,,-30254.0,
Tăng vốn từ chia cổ tức bằng cổ phiếu và sửdung quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ chia cổ tức bằng cổ phiếu và sửdung quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ chia cổ tức bằng cổ phiếu và sửdung quỹ dự trữ bổ sung vốn điều lệ,236.958,-,(88.859),-,-,(148.099),-,236958.0,,-88859.0,,,-148099.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(33.339),(33.339),,,,,,-33339.0,-33339.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,3.236.958,(34.200),13.237,213.399,3,320.750,3.750.147,3236958.0,-34200.0,13237.0,213399.0,3.0,320750.0,3750147.0
