row_label_raw,row_label_full,Tiền gửi tại Ngân hàng,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc,numeric__Tỷ lệ dự trữ bắt buộc_1
Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,Tiền gửi tại Ngân hàng,31/12/2018,31/12/2017,,
Số dư bình quân tháng trước của:,Số dư bình quân tháng trước của:,Số dư bình quân tháng trước của:,,,,
Khách hàng:,Khách hàng:,Khách hàng:,,,,
▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,Khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng ngoại tệ có kỳ hạn dưới 12 tháng,8%,8%,0.08,0.08
▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,Khách hàng: > ▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng ngoại tệ có kỳ hạn từ 12 tháng trở lên,6%,6%,0.06,0.06
▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,Khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,▪ Tiền gửi bằng VND có kỳ hạn dưới 12 tháng,3%,3%,0.03,0.03
▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,Khách hàng: > ▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,▪ Tiền gửi bằng VND có kỳ hạn từ 12 tháng trở lên,1%,1%,0.01,0.01
Tổ chức tin dụng nước ngoài:,Tổ chức tin dụng nước ngoài:,Tổ chức tin dụng nước ngoài:,,,,
▪ Tiền gửi bằng ngoại tệ,Tổ chức tin dụng nước ngoài: > ▪ Tiền gửi bằng ngoại tệ,▪ Tiền gửi bằng ngoại tệ,1%,1%,0.01,0.01
,,,31/12/2018Triệu VND,31/12/2017Triệu VND,,
Tải khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc tại NHNNVN,Tải khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc tại NHNNVN,Tải khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc tại NHNNVN,,,,
▪ Bằng VND,Tải khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc tại NHNNVN > ▪ Bằng VND,▪ Bằng VND,1.839.380,2.229.557,1839380.0,2229557.0
▪ Bằng ngoại tệ,Tải khoản tiền gửi thanh toán và quỹ dự trữ bắt buộc tại NHNNVN > ▪ Bằng ngoại tệ,▪ Bằng ngoại tệ,13.523,22.025,13523.0,22025.0
,,,1.852.903,2.251.582,1852903.0,2251582.0
