row_label_raw,row_label_full,STT,Chỉ tiêu,Năm 2017,Năm 2018,Tăng/giảm (+/-) năm 2018 so với năm 2017 > Số dư,Tăng/giảm (+/-) năm 2018 so với năm 2017 > Tỷ lệ (%),numeric__Chỉ tiêu,numeric__Năm 2017,numeric__Năm 2018,numeric__Tăng/giảm (+/-) năm 2018 so với năm 2017 > Số dư,numeric__Tăng/giảm (+/-) năm 2018 so với năm 2017 > Tỷ lệ (%)
I,I,I,Tổng thu nhập,1.127.154,1.256.161,129.007,"11,45",,1127154.0,1256161.0,129007.0,11.45
1,1,1,Thu nhập lãi thuần,1.041.632,974.871,(66.761),"(6,41)",,1041632.0,974871.0,-66761.0,-6.41
2,2,2,Lãi/ lỗ thuần từ hoạt động dịch vụ và ngoại hối,51.735,67.585,15.850,"30,64",,51735.0,67585.0,15850.0,30.64
a,a,a,Lãi/ lỗ thuần từ hoạt động dịch vụ,48.102,55.959,7.857,"16,33",,48102.0,55959.0,7857.0,16.33
b,b,b,Lãi/ lỗ thuần từ hoạt động kinh doanh ngoại hối,3.633,11.626,7.993,"220,01",,3633.0,11626.0,7993.0,220.01
3,3,3,Lãi/ lỗ thuần từ mua bán chứng khoán kinh doanh,-,-,-,-,,,,,
4,3 > 4,4,Lãi/ lỗ thuần từ mua bán chứng khoán đầu tư,(4.133),116.790,120.923,-,,-4133.0,116790.0,120923.0,
5,3 > 5,5,Lãi/ lỗ thuần từ hoạt động khác,37.475,96.192,58.717,"156,68",,37475.0,96192.0,58717.0,156.68
6,3 > 6,6,"Thu nhập từ góp vốn, mua cổ phần",445,724,279,"62,63",,445.0,724.0,279.0,62.63
II,3 > II,II,Tổng chi phí,874.960,966.080,91.120,"10,41",,874960.0,966080.0,91120.0,10.41
1,3 > 1,1,Chi phí hoạt động,806.203,928.436,122.233,"15,16",,806203.0,928436.0,122233.0,15.16
2,3 > 2,2,Chi phí dự phòng rủi ro tín dụng,68.757,37.644,(31.113),"(45,25)",,68757.0,37644.0,-31113.0,-45.25
III,3 > III,III,Tổng lợi nhuận trước thuế,252.194,290.082,37.888,"15,02",,252194.0,290082.0,37888.0,15.02
IV,3 > IV,IV,Chi phí thuế TNDN,50.501,58.193,7.692,"15,23",,50501.0,58193.0,7692.0,15.23
V,3 > V,V,Lợi nhuận sau thuế,201.693,231.889,30.196,"14,97",,201693.0,231889.0,30196.0,14.97
