row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tổng dư nợ tiền gửi và cho vay – gộp Triệu VND,Tổng tiền gửi và tiền vay Triệu VND,Phát hành giấy tờ có giá Triệu VND,Các cam kết tín dụng – gộp Triệu VND,Chứng khoán đầu tư – gộp Triệu VND,Công cụ tài chính phái sinh (Tổng giá trị giao dịch theo hợp đồng) Triệu VND,numeric__Tổng dư nợ tiền gửi và cho vay – gộp Triệu VND,numeric__Tổng tiền gửi và tiền vay Triệu VND,numeric__Phát hành giấy tờ có giá Triệu VND,numeric__Các cam kết tín dụng – gộp Triệu VND,numeric__Chứng khoán đầu tư – gộp Triệu VND,numeric__Công cụ tài chính phái sinh (Tổng giá trị giao dịch theo hợp đồng) Triệu VND
Trong nước,Trong nước,Trong nước,36.724.224,37.454.204,300.000,164.582,1.553.963,93.887,36724224.0,37454204.0,300000.0,164582.0,1553963.0,93887.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tổng dư nợ tiền gửi và cho vay – gộp Triệu VND,Tổng tiền gửi và tiền vay Triệu VND,Phát hành giấy tờ có giá Triệu VND,Các cam kết tín dụng – gộp Triệu VND,Chứng khoán đầu tư – gộp Triệu VND,Công cụ tài chính phái sinh (Tổng giá trị giao dịch theo hợp đồng) Triệu VND,,,,,,
Trong nước,Tại ngày 31 tháng 12 năm 2017 > Trong nước,Trong nước,31.100.944,33.152.230,-,87.143,2.311.271,-,31100944.0,33152230.0,,87143.0,2311271.0,
