row_label_raw,row_label_full,Số dư cuối năm,31/12/2018Triệu VND,31/12/2017Triệu VND,numeric__31/12/2018Triệu VND,numeric__31/12/2017Triệu VND
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,483,826,483.0,826.0
Lãi phải trả,Thành viên Hội đồng Quản trị > Lãi phải trả,Lãi phải trả,1,2,1.0,2.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,324,1.674,324.0,1674.0
Lãi phải trả,Thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,4,40,4.0,40.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,150,328,150.0,328.0
Lãi phải trả,Thành viên Ban Kiểm soát > Lãi phải trả,Lãi phải trả,2,-,2.0,
Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,462,185.241,462.0,185241.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Lãi phải trả,Lãi phải trả,47,193,47.0,193.0
Phải thu tiền cho thuê văn phòng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Phải thu tiền cho thuê văn phòng,Phải thu tiền cho thuê văn phòng,7.119,2.046,7119.0,2046.0
Phải trả tiền cọc cho thuê văn phòng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Phải trả tiền cọc cho thuê văn phòng,Phải trả tiền cọc cho thuê văn phòng,480,960,480.0,960.0
Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,268,20.002,268.0,20002.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,393,449,393.0,449.0
Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,5,1.830,5.0,1830.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát > Lãi phải trả,Lãi phải trả,30,65,30.0,65.0
