row_label_raw,row_label_full,2017,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tài sản cố địnhvô hình khácTriệu VND,TổngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tài sản cố địnhvô hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,705.743,53.751,6.144,765.638,705743.0,53751.0,6144.0,765638.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.675,-,-,4.675,4675.0,,,4675.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(i)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(i)),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 16(i)),24.627,7.674,201,32.502,24627.0,7674.0,201.0,32502.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(25.244),-,-,(25.244),-25244.0,,,-25244.0
Phân loại sang tài sản Có khác,Nguyên giá > Phân loại sang tài sản Có khác,Phân loại sang tài sản Có khác,(21.135),-,-,(21.135),-21135.0,,,-21135.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(750),750,-,-,-750.0,750.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,687.916,62.175,6.345,756.436,687916.0,62175.0,6345.0,756436.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.016,30.243,2.859,35.118,2016.0,30243.0,2859.0,35118.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,538,7.206,1.463,9.207,538.0,7206.0,1463.0,9207.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(94),94,-,-,-94.0,94.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.460,37.543,4.322,44.325,2460.0,37543.0,4322.0,44325.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,703.727,23.508,3.285,730.520,703727.0,23508.0,3285.0,730520.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,685.456,24.632,2.023,712.111,685456.0,24632.0,2023.0,712111.0
