row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2018 Triệu VND,2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2018 Triệu VND,numeric__2017 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,24,3.171.636,2.908.703,,24.0,3171636.0,2908703.0
2,2,2,Chi phí lãi và các chi phí tương tự,24,(2.196.765),(1.867.071),,24.0,-2196765.0,-1867071.0
I,I,I,Thu nhập lãi thuần,24,974.871,1.041.632,,24.0,974871.0,1041632.0
3,3,3,Thu nhập từ hoạt động dịch vụ,25,73.869,60.057,,25.0,73869.0,60057.0
4,4,4,Chi phí hoạt động dịch vụ,25,(17.910),(11.955),,25.0,-17910.0,-11955.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,25,55.959,48.102,,25.0,55959.0,48102.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,11.626,3.633,,26.0,11626.0,3633.0
V,V,V,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,27,116.790,(4.133),,27.0,116790.0,-4133.0
5,5,5,Thu nhập từ hoạt động khác,28,105.024,53.252,,28.0,105024.0,53252.0
6,6,6,Chi phí hoạt động khác,28,(8.832),(15.777),,28.0,-8832.0,-15777.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,96.192,37.475,,28.0,96192.0,37475.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,724,445,,29.0,724.0,445.0
VIII,VIII,VIII,Chi phí hoạt động,30,(928.436),(806.203),,30.0,-928436.0,-806203.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,327.726,320.951,,,327726.0,320951.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(37.644),(68.757),,31.0,-37644.0,-68757.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,290.082,252.194,,,290082.0,252194.0
