row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018 > Quá hạn,Tại ngày 31 tháng 12 năm 2018 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2018 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2018 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2018 > Quá hạn,numeric__Tại ngày 31 tháng 12 năm 2018 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2018 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2018 > Trên 5 năm
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,(*),"1,20%",(*),(*),(*),(*),(*),,0.012,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"0,05%",(*),(*),(*),(*),(*),,0.0005,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,(*),"4,63%","5,26%",(*),(*),(*),(*),,0.0463,0.0526,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"2,63%","2,81%",(*),(*),(*),(*),,0.0263,0.0281,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"12,76%","12,47%","11,31%","11,50%","10,98%","6,55%","12,20%",0.1276,0.1247,0.1131,0.115,0.10980000000000001,0.0655,0.122
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"3,20%","2,78%","1,93%",(*),(*),(*),,0.032,0.0278,0.019299999999999998,,,
