row_label_raw,row_label_full,2018,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,578.017,164.456,93.928,10.947,9.855,857.203,578017.0,164456.0,93928.0,10947.0,9855.0,857203.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,972,413,2.348,-,-,3.733,972.0,413.0,2348.0,,,3733.0
Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 16(i)),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 16(i)),Chuyển từ chi phí xây dựng cơ bản dở dang(Thuyết minh 16(i)),99.875,20.798,19.882,3.960,246,144.761,99875.0,20798.0,19882.0,3960.0,246.0,144761.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.041),(4.465),(230),-,(5.736),,-1041.0,-4465.0,-230.0,,-5736.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(71),(108.972),(655),99.317,10.381,-,-71.0,-108972.0,-655.0,99317.0,10381.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,678.793,75.654,111.038,113.994,20.482,999.961,678793.0,75654.0,111038.0,113994.0,20482.0,999961.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,50.485,58.669,45.257,7.450,6.327,168.188,50485.0,58669.0,45257.0,7450.0,6327.0,168188.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,25.732,14.518,9.626,1.907,1.818,53.601,25732.0,14518.0,9626.0,1907.0,1818.0,53601.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(759),(2.458),(230),-,(3.447),,-759.0,-2458.0,-230.0,,-3447.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,(12),(48.415),(479),48.637,269,-,-12.0,-48415.0,-479.0,48637.0,269.0,
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,76.205,24.013,51.946,57.764,8.414,218.342,76205.0,24013.0,51946.0,57764.0,8414.0,218342.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,527.532,105.787,48.671,3.497,3.528,689.015,527532.0,105787.0,48671.0,3497.0,3528.0,689015.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,602.588,51.641,59.092,56.230,12.068,781.619,602588.0,51641.0,59092.0,56230.0,12068.0,781619.0
