row_label_raw,row_label_full,Giấy phép Thành lập và Hoạt động số > Giấy Chứng nhận Đăng ký Kinh doanh/Doanh nghiệp số > Hội đồng Quản trị,0056/NH-GP > 1700197787 > Ông Lê Khắc Gia Bảo > Ông Võ Quốc Thắng,"ngày 18 tháng 9 năm 1995 > Giấy phép Thành lập và Hoạt động được cấp bởi Ngân hàng Nhà nước Việt Nam và có thời hạn là 50 năm kể từ ngày cấp. > ngày 10 tháng 10 năm 1995 > Giấy Chứng nhận Đăng ký Kinh doanh đã được điều chỉnh nhiều lần, và lần điều chỉnh gần nhất là Giấy Chứng nhận Đăng ký Doanh nghiệp số 1700197787 ngày 27 tháng 9 năm 2018 do Sở Kế hoạch và Đầu tư Tỉnh Kiên Giang cấp. > Chủ tịch(từ ngày 26 tháng 4 năm 2018) > Chủ tịch(đến ngày 25 tháng 4 năm 2018)",numeric__0056/NH-GP > 1700197787 > Ông Lê Khắc Gia Bảo > Ông Võ Quốc Thắng,"numeric__ngày 18 tháng 9 năm 1995 > Giấy phép Thành lập và Hoạt động được cấp bởi Ngân hàng Nhà nước Việt Nam và có thời hạn là 50 năm kể từ ngày cấp. > ngày 10 tháng 10 năm 1995 > Giấy Chứng nhận Đăng ký Kinh doanh đã được điều chỉnh nhiều lần, và lần điều chỉnh gần nhất là Giấy Chứng nhận Đăng ký Doanh nghiệp số 1700197787 ngày 27 tháng 9 năm 2018 do Sở Kế hoạch và Đầu tư Tỉnh Kiên Giang cấp. > Chủ tịch(từ ngày 26 tháng 4 năm 2018) > Chủ tịch(đến ngày 25 tháng 4 năm 2018)"
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Mai Hữu Tín,Phó Chủ tịch,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Phạm Trần Duy Huyền,Phó Chủ tịch(từ ngày 26 tháng 4 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,Thành viên(đến ngày 25 tháng 4 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Võ Văn Châu,Phó Chủ tịch(từ ngày 13 tháng 2 năm 2018đến ngày 25 tháng 4 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,Thành viên(đến ngày 12 tháng 2 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Bùi Thanh Hải,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Nguyễn Thụy Quỳnh Hương,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Trần Tuấn Anh,Thành viên(từ ngày 26 tháng 4 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Trung Việt,Thành viên(từ ngày 26 tháng 4 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Trần Văn Trọng,Thành viên(từ ngày 26 tháng 4 năm 2018),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Nguyễn Cao Cường,Trường Ban Kiểm soát(từ ngày 26 tháng 4 năm 2018),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Lê Khắc Gia Bảo,Trường Ban Kiểm soát(đến ngày 25 tháng 4 năm 2018),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Nguyễn Thanh Minh,Thành viên Ban Kiểm soát,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Đăng Minh Quân,Thành viên Ban Kiểm soát,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Nguyễn Văn Phú,Thành viên Ban Kiểm soát(đến ngày 25 tháng 4 năm 2018),,
