row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2018Triệu VND,2017Triệu VND,numeric__2018Triệu VND,numeric__2017Triệu VND
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,
Nhận tiền gửi,Thành viên Hội đồng Quản trị > Nhận tiền gửi,Nhận tiền gửi,124.819,113.041,124819.0,113041.0
Chi phí lãi tiền gửi,Thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,37,42,37.0,42.0
Thù lao,Thành viên Hội đồng Quản trị > Thù lao,Thù lao,7.575,7.364,7575.0,7364.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,
Nhận tiền gửi,Thành viên Ban Tổng Giám đốc > Nhận tiền gửi,Nhận tiền gửi,21.627,36.862,21627.0,36862.0
Chi phí lãi tiền gửi,Thành viên Ban Tổng Giám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,185,72,185.0,72.0
Tiền lương và thường,Thành viên Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,11.142,9.771,11142.0,9771.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,
Nhận tiền gửi,Thành viên Ban Kiểm soát > Nhận tiền gửi,Nhận tiền gửi,44.353,10.733,44353.0,10733.0
Chi phí lãi tiền gửi,Thành viên Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,8,13,8.0,13.0
Thù lao,Thành viên Ban Kiểm soát > Thù lao,Thù lao,2.006,2.327,2006.0,2327.0
Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,,
Nhận tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Nhận tiền gửi,Nhận tiền gửi,1.247.323,2.422.064,1247323.0,2422064.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,3.526,6.822,3526.0,6822.0
Thu nhập cho thuê kho,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Thu nhập cho thuê kho,Thu nhập cho thuê kho,7.250,4.965,7250.0,4965.0
Nhận tiền cọc cho thuê kho,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Nhận tiền cọc cho thuê kho,Nhận tiền cọc cho thuê kho,-,280,,280.0
Chi phí xây dựng xưởng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Chi phí xây dựng xưởng,Chi phí xây dựng xưởng,-,21.596,,21596.0
Thu nhập cân xe,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Thu nhập cân xe,Thu nhập cân xe,-,2,,2.0
Thu nhập khác,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Thu nhập khác,Thu nhập khác,806,778,806.0,778.0
Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,,
Nhận tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc > Nhận tiền gửi,Nhận tiền gửi,69.674,91.084,69674.0,91084.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,1.022,1.067,1022.0,1067.0
Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát,,
Nhận tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát > Nhận tiền gửi,Nhận tiền gửi,637,10.282,637.0,10282.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,50,133,50.0,133.0
