row_label_raw,row_label_full,Tên công ty,Giấy Chứng nhận Đăng ký Kinh doanh,Lĩnh vực hoạt động chính,Tỷ lệ % sở hữu và quyền biểu quyết của Ngân hàng,Tỷ lệ % sở hữu và quyền biểu quyết của Ngân hàng_1,numeric__Giấy Chứng nhận Đăng ký Kinh doanh,numeric__Lĩnh vực hoạt động chính,numeric__Tỷ lệ % sở hữu và quyền biểu quyết của Ngân hàng,numeric__Tỷ lệ % sở hữu và quyền biểu quyết của Ngân hàng_1
Tên công ty,Tên công ty,Tên công ty,Giấy Chứng nhận Đăng ký Kinh doanh,Lĩnh vực hoạt động chính,31/12/2018,31/12/2017,,,,
Công ty TNHH Một Thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Kiên Long,Tên công ty > Công ty TNHH Một Thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Kiên Long,Công ty TNHH Một Thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Kiên Long,Giấy Chứng nhận Đăng ký Doanh nghiệp số 1701452905 do Sở Kế hoạch và Đầu tư Tỉnh Kiên Giang cấp ngày 12 tháng 11 năm 2010 và điều chỉnh gần nhất ngày 21 tháng 2 năm 2018.,Quản lý nợ và khai thác tài sản,100%,100%,,,1.0,1.0
