row_label_raw,row_label_full,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,18,255.545,col_4,numeric__Các khoản nợ Ngân hàng Nhà nước Việt Nam,numeric__18,numeric__255.545,numeric__col_4
II,II,II,Tiền gửi và vay các tổ chức tín dụng khác,19,7.992.502,7.028.038,,19.0,7992502.0,7028038.0
1,1,1,Tiền gửi của các tổ chức tín dụng khác,,7.829.594,6.863.405,,,7829594.0,6863405.0
2,2,2,Vay các tổ chức tín dụng khác,,162.908,164.633,,,162908.0,164633.0
III,III,III,Tiền gửi của khách hàng,20,29.206.157,26.124.192,,20.0,29206157.0,26124192.0
VI,VI,VI,Phát hành giấy tờ có giá,21,300.000,,,21.0,300000.0,
VII,VII,VII,Các khoản nợ khác,,805.452,622.978,,,805452.0,622978.0
1,1,1,"Các khoản lãi, phí phải trả",,548.930,480.931,,,548930.0,480931.0
3,3,3,Các khoản phải trả và công nợ khác,22,256.522,142.047,,22.0,256522.0,142047.0
