row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2017,Quá hạn > Trên 3 thángTriệu VND,Quá hạn > Đến 3 thángTriệu VND,Trong hạn > Đến 1 thángTriệu VND,Trong hạn > Từ trên 1đến 3 thángTriệu VND,Trong hạn > Từ trên 3đến 12 thángTriệu VND,Trong hạn > Từ trên 1đến 5 nămTriệu VND,Trong hạn > Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạn > Trên 3 thángTriệu VND,numeric__Quá hạn > Đến 3 thángTriệu VND,numeric__Trong hạn > Đến 1 thángTriệu VND,numeric__Trong hạn > Từ trên 1đến 3 thángTriệu VND,numeric__Trong hạn > Từ trên 3đến 12 thángTriệu VND,numeric__Trong hạn > Từ trên 1đến 5 nămTriệu VND,numeric__Trong hạn > Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,-,433.191,-,-,-,-,433.191,,,433191.0,,,,,433191.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.251.582,-,-,-,-,2.251.582,,,2251582.0,,,,,2251582.0
Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,Tiền gửi và cho vay cáctổ chức tín dụng khác – gộp,-,-,2.663.859,1.500.000,-,-,-,4.163.859,,,2663859.0,1500000.0,,,,4163859.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),207.110,112.008,3.183.636,2.254.348,8.703.964,4.719.263,5.505.174,24.685.503,207110.0,112008.0,3183636.0,2254348.0,8703964.0,4719263.0,5505174.0,24685503.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,-,151.064,126.038,1.511.973,522.196,2.311.271,,,,151064.0,126038.0,1511973.0,522196.0,2311271.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,14.521,14.521,,,,,,,14521.0,14521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,858.841,542.285,1.401.126,,,,,,858841.0,542285.0,1401126.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,143.009,143.009,,,,,,,143009.0,143009.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,-,1.590.064,30.353,175.383,495.384,10.105,2.301.289,,,1590064.0,30353.0,175383.0,495384.0,10105.0,2301289.0
,,,207.110,112.008,10.122.332,3.935.765,9.005.385,7.585.461,6.737.290,37.705.351,207110.0,112008.0,10122332.0,3935765.0,9005385.0,7585461.0,6737290.0,37705351.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Tiền gửi và vay cáctổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay cáctổ chức tín dụng khác,Tiền gửi và vay cáctổ chức tín dụng khác,-,-,3.001.467,3.454.969,435.349,125.264,10.989,7.028.038,,,3001467.0,3454969.0,435349.0,125264.0,10989.0,7028038.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,7.441.427,5.510.347,12.450.198,721.502,718,26.124.192,,,7441427.0,5510347.0,12450198.0,721502.0,718.0,26124192.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,622.978,-,-,-,-,622.978,,,622978.0,,,,,622978.0
,,,-,-,11.065.872,8.965.316,12.885.547,846.766,11.707,33.775.208,,,11065872.0,8965316.0,12885547.0,846766.0,11707.0,33775208.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,207.110,112.008,(943.540),(5.029.551),(3.880.162),6.738.695,6.725.583,3.930.143,207110.0,112008.0,-943540.0,-5029551.0,-3880162.0,6738695.0,6725583.0,3930143.0
