row_label_raw,row_label_full,năm 2018,năm 2018_1,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__năm 2018_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I.,I.,I.,Doanh thu,294.224,499.079,3.119.817,(423.343),3.489.777,,294224.0,499079.0,3119817.0,-423343.0,3489777.0
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự tử:,291.519,489.159,2.814.301,(423.343),3.171.636,,291519.0,489159.0,2814301.0,-423343.0,3171636.0
1.,1.,1.,Khách hàng bên ngoài,152.038,426.337,2.593.261,-,3.171.636,,152038.0,426337.0,2593261.0,,3171636.0
1.,1.,1.,Nội bộ,139.481,62.822,221.040,(423.343),-,,139481.0,62822.0,221040.0,-423343.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,1.633,3.383,68.853,-,73.869,,1633.0,3383.0,68853.0,,73869.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,1.072,6.537,236.663,-,244.272,,1072.0,6537.0,236663.0,,244272.0
II.,II.,II.,Chi phí,(270.971),(416.892),(2.897.531),423.343,(3.162.051),,-270971.0,-416892.0,-2897531.0,423343.0,-3162051.0
1.,1.,1.,Chi phí lãi và các chi phí tương tự tử:,(221.045),(304.954),(2.094.109),423.343,(2.196.765),,-221045.0,-304954.0,-2094109.0,423343.0,-2196765.0
1.,1.,1.,Khách hàng bên ngoài,(204.029),(271.388),(1.721.348),-,(2.196.765),,-204029.0,-271388.0,-1721348.0,,-2196765.0
1.,1.,1.,Nội bộ,(17.016),(33.566),(372.761),423.343,-,,-17016.0,-33566.0,-372761.0,423343.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định và bắt động sản đầu tư,(850),(6.559),(62.445),-,(69.854),,-850.0,-6559.0,-62445.0,,-69854.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(49.076),(105.379),(740.977),-,(895.432),,-49076.0,-105379.0,-740977.0,,-895432.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,23.253,82.187,222.286,-,327.726,,23253.0,82187.0,222286.0,,327726.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.808),(4.807),(26.029),-,(37.644),,-6808.0,-4807.0,-26029.0,,-37644.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),16.445,77.380,196.257,-,290.082,,16445.0,77380.0,196257.0,,290082.0
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,,,,,,
I.,Tại ngày 31/12/2018 > I.,I.,Tài sản,1.481.188,4.657.885,36.170.730,-,42.309.803,,1481188.0,4657885.0,36170730.0,,42309803.0
1.,Tại ngày 31/12/2018 > 1.,1.,Tiền mặt,50.304,72.758,396.689,-,519.751,,50304.0,72758.0,396689.0,,519751.0
2.,Tại ngày 31/12/2018 > 2.,2.,Tài sản cố định và bắt động sản đầu tư,5.366,269.748,1.308.929,-,1.584.043,,5366.0,269748.0,1308929.0,,1584043.0
3.,Tại ngày 31/12/2018 > 3.,3.,Tài sản khác,1.425.518,4.315.379,34.465.112,-,40.206.009,,1425518.0,4315379.0,34465112.0,,40206009.0
II.,Tại ngày 31/12/2018 > II.,II.,Nợ phải trả,2.941.037,4.216.600,31.402.019,-,38.559.656,,2941037.0,4216600.0,31402019.0,,38559656.0
1.,Tại ngày 31/12/2018 > 1.,1.,Nợ phải trả khách hàng bên ngoài,2.940.074,4.214.180,31.148.880,-,38.303.134,,2940074.0,4214180.0,31148880.0,,38303134.0
2.,Tại ngày 31/12/2018 > 2.,2.,Nợ phải trả khác,963,2.420,253.139,-,256.522,,963.0,2420.0,253139.0,,256522.0
