row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Số lượng cổ phiếu,Số lượng cổ phiếu,Số lượng cổ phiếu,Tỷ lệ sở hữu và biểu quyết(%),Giá gốc đầu tưVND,Số lượng cổ phiếu,Tỷ lệ sở hữu và biểu quyết(%),Giá gốc đầu tưVND,,,,,
6.000.000,Số lượng cổ phiếu > 6.000.000,6.000.000,60,60.000.000.000,6.000.000,60,60.000.000.000,60.0,60000000000.0,6000000.0,60.0,60000000000.0
