row_label_raw,row_label_full,CHÌ TIÊU,Mã số,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,1. Doanh thu về bán hàng và cung cấp dịch vụ,01,22.1,4.776.154.699.090,7.793.197.704.857,1.0,221.0,4776154699090.0,7793197704857.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,22.1,22.295.059.603,23.410.228.228,2.0,221.0,22295059603.0,23410228228.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,22.1,4.753.859.639.487,7.769.787.476.629,10.0,221.0,4753859639487.0,7769787476629.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,23,5.538.012.050.716,6.365.070.658.178,11.0,23.0,5538012050716.0,6365070658178.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,(784.152.411.229),1.404.716.818.451,20.0,,-784152411229.0,1404716818451.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,22.2,3.357.752.966.259,2.432.213.212.869,21.0,222.0,3357752966259.0,2432213212869.0
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,7. Chi phí tài chính - Trong đó: Chi phí lãi vay,22,24,144.161.497.188 88.792.729.468,971.581.509.393 96.219.749.004,22.0,24.0,,
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,25,84.663.450.420,146.210.582.200,25.0,25.0,84663450420.0,146210582200.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,26,1.228.362.747.169,660.828.953.777,26.0,26.0,1228362747169.0,660828953777.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,1.116.412.860.253,2.058.308.985.950,30.0,,1116412860253.0,2058308985950.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,,8.727.559.766,12.723.551.448,31.0,,8727559766.0,12723551448.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,,540.590.870,374.698.739,32.0,,540590870.0,374698739.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,8.186.968.896,12.348.852.709,40.0,,8186968896.0,12348852709.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,1.124.599.829.149,2.070.657.838.659,50.0,,1124599829149.0,2070657838659.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,28.2,168.550.545.143,313.256.437.116,51.0,282.0,168550545143.0,313256437116.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,28.3,31.584.850.886,44.800.304.182,52.0,283.0,31584850886.0,44800304182.0
17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,17. Lợi nhuận sau thuế TNDN,60,,924.464.433.120,1.712.601.097.361,60.0,,924464433120.0,1712601097361.0
Trong đó: Lợi nhuận của ACV Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Trong đó: Lợi nhuận của ACV Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,Trong đó: Lợi nhuận của ACV Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao quản lý,,,614.467.399.813 309.997.033.307,1.712.601.097.361,,,,1712601097361.0
