row_label_raw,row_label_full,Bà Huỳnh Thị Diệu,Trường ban,col_2,numeric__Trường ban,numeric__col_2
Ông Nguyễn Hữu Phúc,Ông Nguyễn Hữu Phúc,Ông Nguyễn Hữu Phúc,Thành viên,,,
Ông Lương Quốc Bình,Ông Lương Quốc Bình,Ông Lương Quốc Bình,Thành viên,bổ nhiệm ngày 27 tháng 7 năm 2021,,
Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Thành viên,miễn nhiệm ngày 27 tháng 7 năm 2021,,
