row_label_raw,row_label_full,Bên liên quan,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải thu của khách hàng là các bên liên quan,Phải thu của khách hàng là các bên liên quan,Phải thu của khách hàng là các bên liên quan,Phải thu của khách hàng là các bên liên quan,Phải thu của khách hàng là các bên liên quan,,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Phải thu của khách hàng là các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,6.595.078.273,9.788.110.444,6595078273.0,9788110444.0
Công ty Cổ phần Dịch vụ Hàng không,Phải thu của khách hàng là các bên liên quan > Công ty Cổ phần Dịch vụ Hàng không,Công ty Cổ phần Dịch vụ Hàng không,4.704.644.647,7.831.810.555,4704644647.0,7831810555.0
Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,,,,
Công ty Cổ phần Vận tải Hàng không Miền Nam,Sân bay Tân Sơn Nhất > Công ty Cổ phần Vận tải Hàng không Miền Nam,Công ty Cổ phần Vận tải Hàng không Miền Nam,2.942.954.144,849.065.895,2942954144.0,849065895.0
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Sân bay Tân Sơn Nhất > Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,315.889.200,4.217.816.745,315889200.0,4217816745.0
Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,Sân bay Tân Sơn Nhất > Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,2.689.488,2.893.391,2689488.0,2893391.0
Công ty TNHH Dịch vụ Bảo dưỡng Máy bay,Sân bay Tân Sơn Nhất > Công ty TNHH Dịch vụ Bảo dưỡng Máy bay,Công ty TNHH Dịch vụ Bảo dưỡng Máy bay,-,10.390.874,,10390874.0
Căng Hàng không Miền Nam,Căng Hàng không Miền Nam,Căng Hàng không Miền Nam,,,,
,,,14.561.255.752,22.700.087.904,14561255752.0,22700087904.0
Phải trả nhà cung cấp là các bên liên quan,Phải trả nhà cung cấp là các bên liên quan,Phải trả nhà cung cấp là các bên liên quan,Phải trả nhà cung cấp là các bên liên quan,Phải trả nhà cung cấp là các bên liên quan,,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Phải trả nhà cung cấp là các bên liên quan > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,1.382.392.528,2.329.114.601,1382392528.0,2329114601.0
Công ty Cổ phần Dịch vụ hàng không,Phải trả nhà cung cấp là các bên liên quan > Công ty Cổ phần Dịch vụ hàng không,Công ty Cổ phần Dịch vụ hàng không,1.160.591.890,1.269.009.884,1160591890.0,1269009884.0
Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,Sân bay Tân Sơn Nhất,,,,
Công ty Cổ phần Phục vụ Mặt Đất Hà Nội,Sân bay Tân Sơn Nhất > Công ty Cổ phần Phục vụ Mặt Đất Hà Nội,Công ty Cổ phần Phục vụ Mặt Đất Hà Nội,514.250.000,634.790.648,514250000.0,634790648.0
Công ty Cổ phần Thương mại Hàng không Miền Nam,Sân bay Tân Sơn Nhất > Công ty Cổ phần Thương mại Hàng không Miền Nam,Công ty Cổ phần Thương mại Hàng không Miền Nam,20.648.000,25.714.000,20648000.0,25714000.0
Công ty Cổ phần Vận tải Hàng không miền Nam,Sân bay Tân Sơn Nhất > Công ty Cổ phần Vận tải Hàng không miền Nam,Công ty Cổ phần Vận tải Hàng không miền Nam,11.553.740,8.139.314,11553740.0,8139314.0
Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,Sân bay Tân Sơn Nhất > Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,Công ty Cổ phần Dịch vụ Nhiên liệu hàng không Nội Bài,-,1.573.976.547,,1573976547.0
,,,3.089.436.158,5.840.744.994,3089436158.0,5840744994.0
Người mua là các bên liên quan trả tiền trước,Người mua là các bên liên quan trả tiền trước,Người mua là các bên liên quan trả tiền trước,Người mua là các bên liên quan trả tiền trước,Người mua là các bên liên quan trả tiền trước,,
Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Người mua là các bên liên quan trả tiền trước > Công ty Cổ phần Phục vụ Mặt đất Hà Nội,Công ty Cổ phần Phục vụ Mặt đất Hà Nội,3.107.231.048,-,3107231048.0,
Công ty TNHH Dịch vụ Bảo dưỡng Máy bay,Công ty TNHH Dịch vụ Bảo dưỡng Máy bay,Công ty TNHH Dịch vụ Bảo dưỡng Máy bay,,,,
Căng hàng không Miền Nam,Công ty TNHH Dịch vụ Bảo dưỡng Máy bay > Căng hàng không Miền Nam,Căng hàng không Miền Nam,1.091.189.269,292.869.738,1091189269.0,292869738.0
Công ty Cổ phần Vận tải Hàng không miền Nam,Công ty TNHH Dịch vụ Bảo dưỡng Máy bay > Công ty Cổ phần Vận tải Hàng không miền Nam,Công ty Cổ phần Vận tải Hàng không miền Nam,63.726.106,-,63726106.0,
Công ty Cổ phần Dịch vụ Hàng không sân bay,Công ty Cổ phần Dịch vụ Hàng không sân bay,Công ty Cổ phần Dịch vụ Hàng không sân bay,,,,
Tân Sơn Nhất,Công ty Cổ phần Dịch vụ Hàng không sân bay > Tân Sơn Nhất,Tân Sơn Nhất,23.500.791,-,23500791.0,
,,,4.285.647.214,292.869.738,4285647214.0,292869738.0
