row_label_raw,row_label_full,col_0,Số đầu năm VND,Số tăng trong năm VND,Số giảm trong năm VND,Số cuối năm VND,numeric__Số đầu năm VND,numeric__Số tăng trong năm VND,numeric__Số giảm trong năm VND,numeric__Số cuối năm VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,83.879.486.877,168.550.545.143,252.430.032.020,-,83879486877.0,168550545143.0,252430032020.0,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,5.120.516.995,186.832.412.225,191.952.479.220,450.000,5120516995.0,186832412225.0,191952479220.0,450000.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",2.583.640.573,81.520.419.942,81.996.786.727,2.107.273.788,2583640573.0,81520419942.0,81996786727.0,2107273788.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,393.178.932,51.921.265.669,52.258.504.667,55.939.934,393178932.0,51921265669.0,52258504667.0,55939934.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,107.102.344,17.684.113.777,10.699.695.509,7.091.520.612,107102344.0,17684113777.0,10699695509.0,7091520612.0
Thuế tài nguyên,Phải nộp > Thuế tài nguyên,Thuế tài nguyên,29.588.560,513.570.552,350.110.952,193.048.160,29588560.0,513570552.0,350110952.0,193048160.0
Thuế bảo vệ môi trường,Phải nộp > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,99.208.698,1.121.465.241,1.137.296.981,83.376.958,99208698.0,1121465241.0,1137296981.0,83376958.0
Thuế môn bài,Phải nộp > Thuế môn bài,Thuế môn bài,-,25.000.000,25.000.000,-,,25000000.0,25000000.0,
"Thuế xuất, nhập khẩu","Phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,3.385.944,3.385.944,-,,3385944.0,3385944.0,
Các thuế khác,Phải nộp > Các thuế khác,Các thuế khác,-,251.039.316.931,251.002.243.418,37.073.513,,251039316931.0,251002243418.0,37073513.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,92.212.722.979,759.211.495.424,841.855.535.438,9.568.682.965,92212722979.0,759211495424.0,841855535438.0,9568682965.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,73.726.176.712,572.835.544,13.253.849.688,61.045.162.568,73726176712.0,572835544.0,13253849688.0,61045162568.0
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",1.551.086.056,1.505.048.976,18.000.000,3.038.135.032,1551086056.0,1505048976.0,18000000.0,3038135032.0
Thuế tài nguyên,Phải thu > Thuế tài nguyên,Thuế tài nguyên,8.820.000,-,8.820.000,-,8820000.0,,8820000.0,
Thuế nhà thầu,Phải thu > Thuế nhà thầu,Thuế nhà thầu,1.727.290,-,136.365,1.590.925,1727290.0,,136365.0,1590925.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,303.926.942,-,303.926.942,,303926942.0,,303926942.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,157.569.967.980,-,157.569.967.980,,157569967980.0,,157569967980.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,75.287.810.058,159.951.779.442,13.280.806.053,221.958.783.447,75287810058.0,159951779442.0,13280806053.0,221958783447.0
