row_label_raw,row_label_full,Ông Vũ Thế Phiệt > Ông Đỗ Tất Bình,Tổng Giám đốc > Phó Tổng Giám đốc,bổ nhiệm lại ngày 30 tháng 7 năm 2021 > bổ nhiệm lại ngày 1 tháng 4 năm 2021,numeric__Tổng Giám đốc > Phó Tổng Giám đốc,numeric__bổ nhiệm lại ngày 30 tháng 7 năm 2021 > bổ nhiệm lại ngày 1 tháng 4 năm 2021
Ông Nguyễn Đức Hùng,Ông Nguyễn Đức Hùng,Ông Nguyễn Đức Hùng,Phó Tổng Giám đốc,,,
Ông Nguyễn Quốc Phương,Ông Nguyễn Quốc Phương,Ông Nguyễn Quốc Phương,Phó Tổng Giám đốc,,,
Ông Trần Anh Vũ,Ông Trần Anh Vũ,Ông Trần Anh Vũ,Phó Tổng Giám đốc,bổ nhiệm ngày 14 tháng 4 năm 2021,,
Ông Bùi Á Đông,Ông Bùi Á Đông,Ông Bùi Á Đông,Kế toán trường,,,
