row_label_raw,row_label_full,"Đầu tư vào công ty con(Thuyết minh số 15.1) > Đầu tư vào công ty liên doanh, liên kết(Thuyết minh số 15.2) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 15.3)",Số cuối nămVND > 60.000.000.000 > 2.139.744.434.914 > 234.800.000.000,Số đầu nămVND > 60.000.000.000 > 2.189.744.434.914 > 184.800.000.000,numeric__Số cuối nămVND > 60.000.000.000 > 2.139.744.434.914 > 234.800.000.000,numeric__Số đầu nămVND > 60.000.000.000 > 2.189.744.434.914 > 184.800.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.434.544.434.914,2.434.544.434.914,2434544434914.0,2434544434914.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(70.670.458.763),(21.073.003.181),-70670458763.0,-21073003181.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.363.873.976.151,2.413.471.431.733,2363873976151.0,2413471431733.0
