row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,37.494.250.743.302,37.895.432.242.639,100.0,,37494250743302.0,37895432242639.0
I. Tiền,I. Tiền,I. Tiền,110,4,570.577.583.963,498.742.193.030,110.0,4.0,570577583963.0,498742193030.0
1. Tiền,1. Tiền,1. Tiền,111,,570.577.583.963,498.742.193.030,111.0,,570577583963.0,498742193030.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,32.657.000.000.000,33.120.000.000.000,120.0,,32657000000000.0,33120000000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,5,32.657.000.000.000,33.120.000.000.000,123.0,5.0,32657000000000.0,33120000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,3.657.246.653.333,3.806.803.092.044,130.0,,3657246653333.0,3806803092044.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,2.729.230.315.076,2.317.235.663.973,131.0,6.0,2729230315076.0,2317235663973.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,405.033.903.294,261.022.087.276,132.0,7.0,405033903294.0,261022087276.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,1.018.464.129.581,1.287.501.281.191,136.0,8.0,1018464129581.0,1287501281191.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(495.481.694.618),(58.955.940.396),137.0,9.0,-495481694618.0,-58955940396.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,283.595.415.037,350.235.782.228,140.0,10.0,283595415037.0,350235782228.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,283.595.415.037,350.235.782.228,141.0,,283595415037.0,350235782228.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,325.831.090.969,119.651.175.337,150.0,,325831090969.0,119651175337.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,12.367.019.969,21.986.891.734,151.0,11.0,12367019969.0,21986891734.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,91.505.287.553,22.376.473.545,152.0,,91505287553.0,22376473545.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,17,221.958.783.447,75.287.810.058,153.0,17.0,221958783447.0,75287810058.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,17.023.812.932.414,18.396.943.564.824,200.0,,17023812932414.0,18396943564824.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,271.101.804.917,277.516.804.917,210.0,,271101804917.0,277516804917.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,6,5.600.000.200,6.300.000.200,211.0,6.0,5600000200.0,6300000200.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,8,265.501.804.717,271.216.804.717,216.0,8.0,265501804717.0,271216804717.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,12.469.661.131.708,14.287.143.107.192,220.0,,12469661131708.0,14287143107192.0
