row_label_raw,row_label_full,Giá trị tạm tăng công trình XDCB,Số cuối nămVND > 57.656.140.629,Số đầu nămVND > 112.457.785.144,numeric__Số cuối nămVND > 57.656.140.629,numeric__Số đầu nămVND > 112.457.785.144
"Tiền thuê đất, thuế đất","Tiền thuê đất, thuế đất","Tiền thuê đất, thuế đất",46.460.104.673,34.255.236.794,46460104673.0,34255236794.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,24.955.000.000,28.237.000.000,24955000000.0,28237000000.0
Khám sức khỏe,Khám sức khỏe,Khám sức khỏe,5.342.544.240,5.856.610.924,5342544240.0,5856610924.0
Sửa chữa tài sản,Sửa chữa tài sản,Sửa chữa tài sản,1.989.173.184,2.966.154.983,1989173184.0,2966154983.0
Dịch vụ vận hành hệ thống,Dịch vụ vận hành hệ thống,Dịch vụ vận hành hệ thống,1.977.084.210,-,1977084210.0,
Tiền điện,Tiền điện,Tiền điện,1.161.130.363,1.591.612.460,1161130363.0,1591612460.0
Các khoản khác,Các khoản khác,Các khoản khác,3.381.125.461,5.714.356.374,3381125461.0,5714356374.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,142.922.302.760,191.078.756.679,142922302760.0,191078756679.0
